question_id,method,k,alpha,latency_ms,num_chunks,top_score,score_normalized,rank_position,avg_score,median_score,std_score,min_score,max_score,score_range,total_chars,total_words
q002,bm25,5,,3.77,5,18.321838,1.0,2,13.691469,14.161908,3.504926,10.196617,18.321838,8.12522,4110,689
q002,bm25,10,,5.64,10,18.321838,1.0,3,11.333485,10.02279,3.43893,8.136759,18.321838,10.185078,12369,2074
q002,hybrid,3,0.7,384.47,3,0.001546,0.0,7,0.001541,0.001542,4e-06,0.001537,0.001546,9e-06,935,165
q002,hybrid,5,0.7,369.63,5,0.001546,0.0,8,0.001443,0.001537,0.000205,0.001077,0.001546,0.000469,3375,599
q002,hybrid,10,0.7,439.28,10,0.001546,0.0,9,0.001257,0.001076,0.000238,0.001069,0.001546,0.000477,8546,1350
q002,hybrid,5,0.5,435.57,5,0.001546,0.0,10,0.00138,0.001533,0.000341,0.00077,0.001546,0.000775,4268,731
q003,dense,3,,400.01,3,0.764512,0.041646,4,0.732562,0.734534,0.032981,0.698639,0.764512,0.065873,756,137
q003,dense,5,,403.75,5,0.764512,0.041646,5,0.716685,0.698639,0.032038,0.68841,0.764512,0.076103,2753,486
q003,dense,10,,664.66,10,0.764512,0.041646,6,0.696686,0.68674,0.030449,0.668383,0.764512,0.096129,8867,1406
q003,bm25,3,,5.52,3,18.321838,1.0,1,16.731898,16.342178,1.435326,15.531678,18.321838,2.79016,3005,501
q003,bm25,5,,3.37,5,18.321838,1.0,2,14.947187,15.531678,2.796049,10.992957,18.321838,7.328881,4907,834
q003,bm25,10,,4.55,10,18.321838,1.0,3,12.600802,10.826475,3.107097,9.867037,18.321838,8.454801,16767,2805
q003,hybrid,3,0.7,388.27,3,0.001546,0.0,7,0.001542,0.001542,3e-06,0.001539,0.001546,6e-06,935,165
q003,hybrid,5,0.7,407.81,5,0.001546,0.0,8,0.001533,0.001539,1.3e-05,0.001512,0.001546,3.3e-05,7886,1264
q003,hybrid,10,0.7,427.99,10,0.001546,0.0,9,0.001304,0.001295,0.000242,0.00107,0.001546,0.000475,12119,1942
q003,hybrid,5,0.5,365.02,5,0.001546,0.0,10,0.001534,0.00154,1.2e-05,0.001516,0.001546,2.9e-05,7886,1264
q004,dense,3,,414.81,3,0.741105,0.040907,4,0.730254,0.72485,0.009398,0.724807,0.741105,0.016299,9954,1564
q004,dense,5,,378.57,5,0.741105,0.040907,5,0.727205,0.724807,0.007954,0.720803,0.741105,0.020303,13914,2230
q004,dense,10,,676.23,10,0.741105,0.040907,6,0.719837,0.719771,0.009998,0.706537,0.741105,0.034568,30000,4904
q004,bm25,3,,4.38,3,18.080628,1.0,1,15.797092,15.056845,2.01795,14.253803,18.080628,3.826826,8647,1402
q004,bm25,5,,6.17,5,18.080628,1.0,2,14.455458,14.253803,2.326173,12.433015,18.080628,5.647614,10818,1773
q004,bm25,10,,7.74,10,18.080628,1.0,3,13.317788,12.426096,1.96475,11.901108,18.080628,6.179521,30868,5163
q004,hybrid,3,0.7,418.7,3,0.001545,0.0,7,0.001541,0.001541,4e-06,0.001537,0.001545,8e-06,8647,1402
q004,hybrid,5,0.7,406.27,5,0.001545,0.0,8,0.001538,0.001537,4e-06,0.001534,0.001545,1.1e-05,13153,2171
q004,hybrid,10,0.7,380.6,10,0.001545,0.0,9,0.001441,0.001533,0.000194,0.00107,0.001545,0.000475,27120,4371
q004,hybrid,5,0.5,394.0,5,0.001544,0.0,10,0.001539,0.00154,4e-06,0.001534,0.001544,1.1e-05,13153,2171
q005,dense,3,,392.77,3,0.737484,0.031243,4,0.729118,0.733671,0.011349,0.7162,0.737484,0.021284,10089,1595
q005,dense,5,,654.94,5,0.737484,0.031243,5,0.722731,0.7162,0.01188,0.712448,0.737484,0.025036,15612,2699
q005,dense,10,,678.55,10,0.737484,0.031243,6,0.714479,0.711109,0.011967,0.702299,0.737484,0.035185,29603,5033
q005,bm25,3,,4.9,3,23.55712,1.0,1,22.855073,23.404843,1.086776,21.603256,23.55712,1.953864,5913,977
q005,bm25,5,,5.07,5,23.55712,1.0,2,22.041389,21.603256,1.380689,20.435228,23.55712,3.121891,8473,1369
q005,bm25,10,,6.68,10,23.55712,1.0,3,20.120053,20.316218,2.353028,17.318568,23.55712,6.238552,28891,4731
q005,hybrid,3,0.7,396.82,3,0.001542,0.0,8,0.001538,0.001539,5e-06,0.001533,0.001542,9e-06,7955,1254
q005,hybrid,5,0.7,418.73,5,0.001542,0.0,9,0.001533,0.001533,9e-06,0.001519,0.001542,2.3e-05,13136,2148
q005,hybrid,10,0.7,428.55,10,0.001542,0.0,10,0.001391,0.001513,0.000217,0.001074,0.001542,0.000469,26744,4638
q005,hybrid,5,0.5,403.17,5,0.001543,0.0,7,0.001531,0.001534,1.1e-05,0.001514,0.001543,2.9e-05,13136,2148
q006,dense,3,,386.2,3,0.722669,0.040458,4,0.713478,0.709759,0.008008,0.708006,0.722669,0.014663,5821,997
q006,dense,5,,381.69,5,0.722669,0.040458,5,0.708592,0.708006,0.008765,0.701214,0.722669,0.021455,11016,1846
q006,dense,10,,1027.52,10,0.722669,0.040458,6,0.702893,0.700929,0.008515,0.694569,0.722669,0.0281,17086,2889
q006,bm25,3,,4.33,3,17.825986,1.0,1,17.667666,17.787116,0.24134,17.389895,17.825986,0.436091,7788,1303
q006,bm25,5,,4.85,5,17.825986,1.0,2,17.44743,17.389895,0.361303,16.972351,17.825986,0.853635,21657,3626
q006,bm25,10,,4.37,10,17.825986,1.0,3,15.996611,16.150028,1.58931,14.001149,17.825986,3.824838,26702,4510
q006,hybrid,3,0.7,612.27,3,0.001536,0.0,8,0.001532,0.001532,3e-06,0.00153,0.001536,6e-06,6278,1002
q006,hybrid,5,0.7,698.49,5,0.001536,0.0,9,0.001529,0.00153,6e-06,0.001521,0.001536,1.4e-05,12041,1973
q006,hybrid,10,0.7,751.69,10,0.001536,0.0,10,0.001392,0.001521,0.000215,0.001079,0.001536,0.000457,22718,3802
q006,hybrid,5,0.5,589.85,5,0.001538,0.0,7,0.00153,0.001529,5e-06,0.001525,0.001538,1.4e-05,13099,2149
q007,dense,3,,415.75,3,0.759503,0.033891,4,0.750791,0.747598,0.007634,0.745272,0.759503,0.01423,8796,1437
q007,dense,5,,639.85,5,0.759503,0.033891,5,0.746514,0.745272,0.007999,0.739062,0.759503,0.020441,13153,2171
q007,dense,10,,407.54,10,0.759503,0.033891,6,0.736831,0.737421,0.012029,0.723655,0.759503,0.035848,33649,5561
q007,bm25,3,,5.04,3,22.366351,1.0,1,21.615753,21.435159,0.67857,21.04575,22.366351,1.320602,6053,1037
q007,bm25,5,,5.13,5,22.366351,1.0,2,20.772577,21.04575,1.307305,18.967827,22.366351,3.398524,20155,3417
q007,bm25,10,,5.21,10,22.366351,1.0,3,19.037687,18.794415,2.088489,16.71883,22.366351,5.647521,28460,4821
q007,hybrid,3,0.7,411.69,3,0.001542,0.0,7,0.001542,0.001542,1e-06,0.001541,0.001542,2e-06,6202,1072
q007,hybrid,5,0.7,383.18,5,0.001542,0.0,8,0.00154,0.001541,3e-06,0.001535,0.001542,7e-06,13153,2171
q007,hybrid,10,0.7,406.11,10,0.001542,0.0,9,0.001529,0.001532,1.4e-05,0.001506,0.001542,3.7e-05,25938,4225
q007,hybrid,5,0.5,393.53,5,0.001542,0.0,10,0.001539,0.00154,4e-06,0.001531,0.001542,1.1e-05,13153,2171
q008,dense,3,,396.66,3,0.719947,0.025229,4,0.708951,0.715011,0.014975,0.691896,0.719947,0.028052,8647,1402
q008,dense,5,,665.32,5,0.719947,0.025229,5,0.700514,0.691896,0.015822,0.684788,0.719947,0.035159,26270,4415
q008,dense,10,,391.96,10,0.719947,0.025229,6,0.689559,0.682883,0.015684,0.676742,0.719947,0.043205,35124,5833
q008,bm25,3,,10.89,3,28.476339,1.0,1,25.3786,24.54539,2.776536,23.114072,28.476339,5.362266,10436,1690
q008,bm25,5,,10.03,5,28.476339,1.0,2,22.249592,23.114072,4.729889,16.990878,28.476339,11.485461,24600,4080
q008,bm25,10,,11.08,10,28.476339,1.0,3,19.144644,16.980163,4.586646,15.044695,28.476339,13.431643,41445,6775
q008,hybrid,3,0.7,481.17,3,0.001545,0.0,7,0.001543,0.001544,3e-06,0.001539,0.001545,6e-06,10436,1690
q008,hybrid,5,0.7,477.87,5,0.001545,0.0,8,0.001538,0.001539,7e-06,0.001528,0.001545,1.7e-05,16775,2711
q008,hybrid,10,0.7,373.36,10,0.001545,0.0,9,0.001394,0.001523,0.000221,0.001072,0.001545,0.000473,48417,8054
q008,hybrid,5,0.5,407.85,5,0.001544,0.0,10,0.001537,0.00154,8e-06,0.001527,0.001544,1.8e-05,16775,2711
q009,dense,3,,648.76,3,0.720756,0.013897,4,0.711506,0.707213,0.008018,0.706548,0.720756,0.014209,8647,1402
q009,dense,5,,652.27,5,0.720756,0.013897,5,0.702269,0.706548,0.013864,0.68798,0.720756,0.032776,11039,1821
q009,dense,10,,393.16,10,0.720756,0.013897,6,0.692396,0.687802,0.01408,0.680017,0.720756,0.040739,22219,3689
q009,bm25,3,,10.38,3,51.755208,1.0,1,45.181513,49.313296,9.351266,34.476035,51.755208,17.279172,10436,1690
q009,bm25,5,,10.51,5,51.755208,1.0,2,40.66755,34.476035,9.059343,33.36017,51.755208,18.395038,24538,4070
q009,bm25,10,,10.52,10,51.755208,1.0,3,34.942099,31.900175,8.56477,27.842966,51.755208,23.912241,37407,6261
q009,hybrid,3,0.7,429.1,3,0.001545,0.0,7,0.001542,0.001544,4e-06,0.001538,0.001545,7e-06,8647,1402
q009,hybrid,5,0.7,401.14,5,0.001545,0.0,8,0.00154,0.001538,4e-06,0.001536,0.001545,9e-06,11039,1821
q009,hybrid,10,0.7,388.93,10,0.001545,0.0,9,0.001531,0.001535,1.1e-05,0.001515,0.001545,2.9e-05,18258,3054
q009,hybrid,5,0.5,405.99,5,0.001544,0.0,10,0.001539,0.001536,5e-06,0.001536,0.001544,8e-06,13503,2234
q010,dense,3,,419.88,3,0.737756,0.044379,4,0.719235,0.714062,0.016553,0.705886,0.737756,0.03187,4819,817
q010,dense,5,,647.08,5,0.737756,0.044379,5,0.712534,0.705886,0.014875,0.70207,0.737756,0.035686,10130,1663
q010,dense,10,,683.16,10,0.737756,0.044379,6,0.700066,0.699301,0.017023,0.681421,0.737756,0.056335,26062,4178
q010,bm25,3,,3.41,3,16.590678,1.0,1,14.291276,13.622724,2.048643,12.660427,16.590678,3.930251,5808,973
q010,bm25,5,,3.55,5,16.590678,1.0,2,12.884421,12.660427,2.415455,10.551093,16.590678,6.039585,11844,1946
q010,bm25,10,,7.23,10,16.590678,1.0,3,11.451776,10.484559,2.214432,9.715621,16.590678,6.875057,27577,4490
q010,hybrid,3,0.7,402.79,3,0.001546,0.0,7,0.00154,0.001538,5e-06,0.001535,0.001546,1e-05,9521,1564
q010,hybrid,5,0.7,380.67,5,0.001546,0.0,8,0.001535,0.001535,8e-06,0.001523,0.001546,2.2e-05,17500,2838
q010,hybrid,10,0.7,414.24,10,0.001546,0.0,9,0.001395,0.001522,0.000219,0.001075,0.001546,0.00047,24841,4026
q010,hybrid,5,0.5,407.56,5,0.001546,0.0,10,0.001535,0.001536,9e-06,0.001522,0.001546,2.3e-05,14228,2361
q011,dense,3,,660.73,3,0.736742,0.02729,4,0.728983,0.734994,0.011956,0.715215,0.736742,0.021527,3538,589
q011,dense,5,,404.28,5,0.736742,0.02729,5,0.717368,0.715215,0.018013,0.699614,0.736742,0.037128,8821,1416
q011,dense,10,,422.44,10,0.736742,0.02729,6,0.705313,0.698569,0.017681,0.688223,0.736742,0.048519,18639,2985
q011,bm25,3,,13.13,3,26.941642,1.0,1,24.504516,23.479961,2.119511,23.091946,26.941642,3.849697,7413,1206
q011,bm25,5,,12.95,5,26.941642,1.0,2,23.029092,23.091946,2.529688,20.43777,26.941642,6.503873,11932,1898
q011,bm25,10,,13.34,10,26.941642,1.0,3,21.182337,20.205194,2.606639,18.636762,26.941642,8.304881,18768,3059
q011,hybrid,3,0.7,408.65,3,0.00154,0.0,7,0.001538,0.001539,2e-06,0.001536,0.00154,4e-06,5131,865
q011,hybrid,5,0.7,420.89,5,0.00154,0.0,8,0.001535,0.001536,5e-06,0.001527,0.00154,1.3e-05,9767,1586
q011,hybrid,10,0.7,423.63,10,0.00154,0.0,9,0.001485,0.001526,0.000142,0.001082,0.00154,0.000458,18388,3017
q011,hybrid,5,0.5,407.54,5,0.001538,0.0,10,0.001536,0.001537,4e-06,0.001529,0.001538,9e-06,12082,1964
q012,dense,3,,620.27,3,0.752014,0.040964,4,0.725494,0.715903,0.023259,0.708565,0.752014,0.04345,8529,1370
q012,dense,5,,662.45,5,0.752014,0.040964,5,0.716943,0.708565,0.020193,0.703552,0.752014,0.048463,11622,1889
q012,dense,10,,665.75,10,0.752014,0.040964,6,0.708782,0.703208,0.016007,0.69931,0.752014,0.052705,36550,6185
q012,bm25,3,,3.58,3,18.321838,1.0,1,17.093933,16.799855,1.110465,16.160106,18.321838,2.161732,7478,1203
q012,bm25,5,,4.48,5,18.321838,1.0,2,16.528396,16.160106,1.10782,15.531678,18.321838,2.79016,9540,1557
q012,bm25,10,,6.77,10,18.321838,1.0,3,15.553758,15.424377,1.326307,13.915221,18.321838,4.406617,33971,5661
q012,hybrid,3,0.7,364.84,3,0.001542,0.0,7,0.001539,0.001537,3e-06,0.001536,0.001542,5e-06,8529,1370
q012,hybrid,5,0.7,391.06,5,0.001542,0.0,8,0.001536,0.001536,4e-06,0.001533,0.001542,9e-06,13410,2209
q012,hybrid,10,0.7,374.4,10,0.001542,0.0,9,0.001526,0.001528,1.2e-05,0.001512,0.001542,3e-05,34952,5760
q012,hybrid,5,0.5,377.88,5,0.001541,0.0,10,0.001534,0.001533,4e-06,0.00153,0.001541,1.1e-05,13410,2209
q013,dense,3,,400.84,3,0.752752,0.021619,4,0.72,0.703722,0.028364,0.703527,0.752752,0.049225,8647,1402
q013,dense,5,,647.98,5,0.752752,0.021619,5,0.713269,0.703527,0.022073,0.703001,0.752752,0.049751,13646,2308
q013,dense,10,,380.48,10,0.752752,0.021619,6,0.706373,0.702303,0.016451,0.69786,0.752752,0.054892,23377,3971
q013,bm25,3,,6.05,3,34.748683,1.0,1,33.669558,33.919483,1.223385,32.34051,34.748683,2.408173,10070,1583
q013,bm25,5,,6.22,5,34.748683,1.0,2,32.763359,32.34051,1.534969,31.035147,34.748683,3.713536,10669,1686
q013,bm25,10,,6.41,10,34.748683,1.0,3,29.435406,28.955072,3.672543,25.413613,34.748683,9.33507,31942,5189
q013,hybrid,3,0.7,388.83,3,0.001545,0.0,7,0.001539,0.001542,8e-06,0.00153,0.001545,1.5e-05,10436,1690
q013,hybrid,5,0.7,391.9,5,0.001545,0.0,8,0.001532,0.00153,1.1e-05,0.001521,0.001545,2.3e-05,23651,3912
q013,hybrid,10,0.7,406.29,10,0.001545,0.0,9,0.001304,0.001301,0.000241,0.00107,0.001545,0.000475,33643,5681
q013,hybrid,5,0.5,386.86,5,0.001544,0.0,10,0.001533,0.001527,1e-05,0.001526,0.001544,1.9e-05,23651,3912
q014,dense,3,,384.72,3,0.712664,0.026786,4,0.709518,0.710412,0.003676,0.705477,0.712664,0.007187,2940,532
q014,dense,5,,651.81,5,0.712664,0.026786,5,0.706587,0.705477,0.004833,0.701198,0.712664,0.011465,9640,1698
q014,dense,10,,414.15,10,0.712664,0.026786,6,0.701227,0.699925,0.006626,0.694008,0.712664,0.018656,19840,3385
q014,bm25,3,,8.11,3,26.549598,1.0,1,25.362024,24.785581,1.028616,24.750893,26.549598,1.798705,8439,1366
q014,bm25,5,,8.35,5,26.549598,1.0,2,24.696388,24.750893,1.173208,23.515547,26.549598,3.034052,12192,2006
q014,bm25,10,,22.79,10,26.549598,1.0,3,23.78136,23.454234,1.287685,22.083577,26.549598,4.466021,23491,3887
q014,hybrid,3,0.7,398.14,3,0.001537,0.0,8,0.001535,0.001535,2e-06,0.001534,0.001537,3e-06,7994,1298
q014,hybrid,5,0.7,420.37,5,0.001537,0.0,9,0.001534,0.001534,3e-06,0.001528,0.001537,9e-06,11215,1850
q014,hybrid,10,0.7,427.2,10,0.001537,0.0,10,0.001482,0.001528,0.000142,0.001079,0.001537,0.000459,19287,3259
q014,hybrid,5,0.5,383.27,5,0.001537,0.0,7,0.001531,0.001531,5e-06,0.001526,0.001537,1.2e-05,9363,1546
q015,dense,3,,691.24,3,0.734524,0.042803,4,0.729745,0.727674,0.004151,0.727037,0.734524,0.007487,4970,839
q015,dense,5,,667.07,5,0.734524,0.042803,5,0.726187,0.727037,0.005809,0.719178,0.734524,0.015346,10334,1683
q015,dense,10,,670.21,10,0.734524,0.042803,6,0.72028,0.719056,0.007687,0.710591,0.734524,0.023932,18715,3091
q015,bm25,3,,6.22,3,17.125837,1.0,1,14.518674,13.998291,2.389848,12.431894,17.125837,4.693942,7348,1159
q015,bm25,5,,3.82,5,17.125837,1.0,2,13.530745,12.431894,2.171658,11.802249,17.125837,5.323588,11686,1904
q015,bm25,10,,3.85,10,17.125837,1.0,3,12.269191,11.802058,2.033426,10.046079,17.125837,7.079758,30373,5101
q015,hybrid,3,0.7,404.4,3,0.001544,0.0,8,0.001537,0.001539,7e-06,0.001529,0.001544,1.5e-05,9000,1452
q015,hybrid,5,0.7,364.76,5,0.001544,0.0,9,0.001533,0.001529,8e-06,0.001525,0.001544,1.9e-05,16100,2586
q015,hybrid,10,0.7,389.03,10,0.001544,0.0,10,0.001349,0.001522,0.000235,0.001072,0.001544,0.000472,21183,3466
q015,hybrid,5,0.5,417.1,5,0.001544,0.0,7,0.001533,0.001531,7e-06,0.001524,0.001544,2e-05,16100,2586
q016,dense,3,,388.25,3,0.730212,0.016043,4,0.728475,0.729607,0.002503,0.725606,0.730212,0.004606,4736,797
q016,dense,5,,655.05,5,0.730212,0.016043,5,0.726405,0.725606,0.003472,0.721963,0.730212,0.008248,11308,1887
q016,dense,10,,427.12,10,0.730212,0.016043,6,0.719447,0.719828,0.008426,0.705985,0.730212,0.024227,21619,3500
q016,bm25,3,,7.41,3,45.420981,1.0,1,39.163788,38.533067,5.966886,33.537316,45.420981,11.883664,8672,1393
q016,bm25,5,,7.55,5,45.420981,1.0,2,35.845175,33.537316,6.227869,30.049028,45.420981,15.371953,10414,1697
q016,bm25,10,,7.9,10,45.420981,1.0,3,31.974945,29.798768,5.871673,26.880668,45.420981,18.540312,17433,2854
q016,hybrid,3,0.7,399.68,3,0.001544,0.0,8,0.001541,0.001543,5e-06,0.001535,0.001544,9e-06,5078,860
q016,hybrid,5,0.7,383.8,5,0.001544,0.0,9,0.001537,0.001535,6e-06,0.00153,0.001544,1.4e-05,10414,1697
q016,hybrid,10,0.7,405.04,10,0.001544,0.0,10,0.00153,0.001529,9e-06,0.001517,0.001544,2.7e-05,27857,4580
q016,hybrid,5,0.5,418.98,5,0.001544,0.0,7,0.001538,0.001536,5e-06,0.001534,0.001544,1.1e-05,10414,1697
q017,dense,3,,656.4,3,0.722561,0.011753,4,0.720205,0.721677,0.003344,0.716377,0.722561,0.006184,5078,860
q017,dense,5,,637.61,5,0.722561,0.011753,5,0.717219,0.716377,0.005025,0.710315,0.722561,0.012246,11650,1950
q017,dense,10,,670.48,10,0.722561,0.011753,6,0.710464,0.709271,0.008479,0.697955,0.722561,0.024607,29517,4845
q017,bm25,3,,9.83,3,61.349162,1.0,1,52.383723,51.142601,8.413816,44.659404,61.349162,16.689758,6505,1108
q017,bm25,5,,10.17,5,61.349162,1.0,2,47.764592,44.659404,8.685712,40.55387,61.349162,20.795292,9884,1678
q017,bm25,10,,11.91,10,61.349162,1.0,3,41.980921,40.03299,8.649469,33.013779,61.349162,28.335384,21289,3512
q017,hybrid,3,0.7,394.55,3,0.001545,0.0,7,0.001541,0.001544,6e-06,0.001534,0.001545,1.1e-05,5078,860
q017,hybrid,5,0.7,428.18,5,0.001545,0.0,8,0.001537,0.001534,7e-06,0.001529,0.001545,1.6e-05,13155,2172
q017,hybrid,10,0.7,422.9,10,0.001545,0.0,9,0.001439,0.001525,0.000192,0.001072,0.001545,0.000473,23374,3767
q017,hybrid,5,0.5,438.85,5,0.001544,0.0,10,0.001535,0.001531,9e-06,0.001524,0.001544,2e-05,13155,2172
q018,dense,3,,419.74,3,0.719348,0.03947,4,0.709766,0.706756,0.008487,0.703195,0.719348,0.016154,5665,1017
q018,dense,5,,636.38,5,0.719348,0.03947,5,0.707073,0.703195,0.007044,0.702962,0.719348,0.016387,9097,1606
q018,dense,10,,589.19,10,0.719348,0.03947,6,0.703135,0.702733,0.006423,0.697636,0.719348,0.021713,17318,2954
q018,bm25,3,,5.76,3,18.187702,1.0,1,17.942611,17.853014,0.214798,17.787116,18.187702,0.400586,19552,3286
q018,bm25,5,,8.59,5,18.187702,1.0,2,16.813612,17.787116,1.564103,14.861651,18.187702,3.326052,21028,3530
q018,bm25,10,,9.05,10,18.187702,1.0,3,15.619483,14.773959,1.641174,14.241864,18.187702,3.945839,30486,5085
q018,hybrid,3,0.7,376.78,3,0.001534,0.0,7,0.001533,0.001533,1e-06,0.001532,0.001534,2e-06,7738,1261
q018,hybrid,5,0.7,408.21,5,0.001534,0.0,8,0.00153,0.001532,5e-06,0.001523,0.001534,1.1e-05,14559,2408
q018,hybrid,10,0.7,370.55,10,0.001534,0.0,9,0.001393,0.001522,0.000216,0.001079,0.001534,0.000456,22562,3822
q018,hybrid,5,0.5,390.18,5,0.001534,0.0,10,0.001532,0.001533,2e-06,0.001528,0.001534,6e-06,14559,2408
q019,dense,3,,650.15,3,0.757125,0.033506,4,0.751386,0.750806,0.005472,0.746227,0.757125,0.010898,5078,860
q019,dense,5,,375.07,5,0.757125,0.033506,5,0.748611,0.746227,0.005432,0.744007,0.757125,0.013119,7269,1236
q019,dense,10,,658.76,10,0.757125,0.033506,6,0.742742,0.742731,0.007461,0.733881,0.757125,0.023244,26097,4355
q019,bm25,3,,6.48,3,22.551785,1.0,1,20.593223,19.673704,1.697216,19.554182,22.551785,2.997603,5935,1005
q019,bm25,5,,5.71,5,22.551785,1.0,2,20.112621,19.554182,1.371247,19.273708,22.551785,3.278077,10791,1837
q019,bm25,10,,6.21,10,22.551785,1.0,3,18.875594,19.160485,1.758091,16.468408,22.551785,6.083377,31493,5274
q019,hybrid,3,0.7,397.69,3,0.001546,0.0,7,0.001543,0.001542,3e-06,0.00154,0.001546,6e-06,5935,1005
q019,hybrid,5,0.7,407.6,5,0.001546,0.0,8,0.001539,0.00154,6e-06,0.00153,0.001546,1.5e-05,10141,1722
q019,hybrid,10,0.7,398.57,10,0.001546,0.0,9,0.001396,0.00153,0.000225,0.001067,0.001546,0.000479,26097,4355
q019,hybrid,5,0.5,387.1,5,0.001546,0.0,10,0.001538,0.001541,7e-06,0.001529,0.001546,1.7e-05,14063,2314
q020,dense,3,,659.09,3,0.728321,0.026223,4,0.714002,0.712878,0.013791,0.700807,0.728321,0.027514,8647,1402
q020,dense,5,,399.79,5,0.728321,0.026223,5,0.705668,0.700807,0.015045,0.691732,0.728321,0.036588,26270,4415
q020,dense,10,,650.42,10,0.728321,0.026223,6,0.696661,0.690877,0.013874,0.685032,0.728321,0.043289,31694,5349
q020,bm25,3,,5.87,3,27.716471,1.0,1,26.219504,26.591658,1.713625,24.350384,27.716471,3.366087,10436,1690
q020,bm25,5,,5.96,5,27.716471,1.0,2,23.512482,24.350384,3.959193,18.485498,27.716471,9.230973,24425,4047
q020,bm25,10,,5.98,10,27.716471,1.0,3,20.460389,18.422745,4.194412,16.650297,27.716471,11.066174,33529,5544
q020,hybrid,3,0.7,408.98,3,0.001545,0.0,7,0.001543,0.001544,3e-06,0.001539,0.001545,6e-06,10436,1690
q020,hybrid,5,0.7,410.93,5,0.001545,0.0,8,0.001537,0.001539,8e-06,0.001525,0.001545,2e-05,13153,2171
q020,hybrid,10,0.7,501.64,10,0.001545,0.0,9,0.001483,0.001522,0.000144,0.001075,0.001545,0.00047,49404,8252
q020,hybrid,5,0.5,410.38,5,0.001544,0.0,10,0.001536,0.00154,1e-05,0.001522,0.001544,2.2e-05,16775,2711
q021,dense,3,,415.87,3,0.720804,0.021277,4,0.711865,0.707656,0.007746,0.707135,0.720804,0.013669,1924,315
q021,dense,5,,400.32,5,0.720804,0.021277,5,0.709524,0.707135,0.006368,0.705275,0.720804,0.01553,7588,1211
q021,dense,10,,646.08,10,0.720804,0.021277,6,0.703902,0.704026,0.007557,0.69565,0.720804,0.025155,18404,3042
q021,bm25,3,,8.05,3,33.807089,1.0,1,25.798554,21.862195,6.935928,21.726376,33.807089,12.080713,8565,1370
q021,bm25,5,,12.61,5,33.807089,1.0,2,23.419898,21.726376,5.908204,19.152525,33.807089,14.654564,15861,2478
q021,bm25,10,,13.01,10,33.807089,1.0,3,20.983208,19.08642,4.712527,17.972701,33.807089,15.834388,28315,4520
q021,hybrid,3,0.7,377.99,3,0.001538,0.0,8,0.001532,0.001537,9e-06,0.001523,0.001538,1.5e-05,8648,1387
q021,hybrid,5,0.7,383.61,5,0.001538,0.0,9,0.00144,0.001523,0.0002,0.001082,0.001538,0.000456,9847,1588
q021,hybrid,10,0.7,405.61,10,0.001538,0.0,10,0.001258,0.001081,0.000234,0.00107,0.001538,0.000467,16252,2674
q021,hybrid,5,0.5,421.83,5,0.00154,0.0,7,0.001381,0.001528,0.00034,0.000773,0.00154,0.000767,9847,1588
q022,dense,3,,652.72,3,0.722696,0.038382,4,0.720331,0.722016,0.003524,0.71628,0.722696,0.006416,8121,1312
q022,dense,5,,622.38,5,0.722696,0.038382,5,0.717723,0.71628,0.004366,0.713375,0.722696,0.009322,16100,2586
q022,dense,10,,385.92,10,0.722696,0.038382,6,0.711807,0.712828,0.007586,0.699863,0.722696,0.022833,22019,3622
