question_id,method,k,alpha,latency_ms,num_chunks,top_score,score_normalized,rank_position,avg_score,median_score,std_score,min_score,max_score,score_range,total_chars,total_words
q003,bm25,10,,6.23,10,18.321531,1.0,3,12.607,10.825441,3.109744,9.866285,18.321531,8.455246,16758,2803
q003,hybrid,3,0.7,368.1,3,0.001546,0.0,7,0.001542,0.001542,3e-06,0.001539,0.001546,6e-06,926,163
q003,hybrid,5,0.7,381.97,5,0.001546,0.0,8,0.001533,0.001539,1.3e-05,0.001512,0.001546,3.3e-05,7877,1262
q003,hybrid,10,0.7,392.55,10,0.001546,0.0,9,0.001304,0.001295,0.000242,0.00107,0.001546,0.000475,12092,1936
q003,hybrid,5,0.5,368.81,5,0.001546,0.0,10,0.001534,0.00154,1.2e-05,0.001516,0.001546,2.9e-05,7877,1262
q004,dense,3,,657.12,3,0.741105,0.040912,4,0.730254,0.72485,0.009398,0.724807,0.741105,0.016299,9954,1564
q004,dense,5,,635.2,5,0.741105,0.040912,5,0.727205,0.724807,0.007954,0.720803,0.741105,0.020303,13914,2230
q004,dense,10,,641.92,10,0.741105,0.040912,6,0.719837,0.719771,0.009998,0.706537,0.741105,0.034568,29990,4902
q004,bm25,3,,6.33,3,18.078203,1.0,1,15.794891,15.054357,2.01768,14.252115,18.078203,3.826088,8647,1402
q004,bm25,5,,5.99,5,18.078203,1.0,2,14.453673,14.252115,2.325606,12.43179,18.078203,5.646412,10818,1773
q004,bm25,10,,7.97,10,18.078203,1.0,3,13.316243,12.425075,1.964304,11.900109,18.078203,6.178094,30868,5163
q004,hybrid,3,0.7,381.27,3,0.001545,0.0,7,0.001541,0.001541,4e-06,0.001537,0.001545,8e-06,8647,1402
q004,hybrid,5,0.7,419.36,5,0.001545,0.0,8,0.001538,0.001537,4e-06,0.001534,0.001545,1.1e-05,13153,2171
q004,hybrid,10,0.7,392.97,10,0.001545,0.0,9,0.001441,0.001533,0.000194,0.00107,0.001545,0.000475,27110,4369
q004,hybrid,5,0.5,420.32,5,0.001544,0.0,10,0.001539,0.00154,4e-06,0.001534,0.001544,1.1e-05,13153,2171
q005,dense,3,,403.78,3,0.737484,0.031246,4,0.729118,0.733671,0.011349,0.7162,0.737484,0.021284,10079,1593
q005,dense,5,,633.43,5,0.737484,0.031246,5,0.722731,0.7162,0.01188,0.712448,0.737484,0.025036,15602,2697
q005,dense,10,,654.38,10,0.737484,0.031246,6,0.714479,0.711109,0.011967,0.702299,0.737484,0.035185,29593,5031
q005,bm25,3,,5.29,3,23.554433,1.0,1,22.852814,23.402937,1.086683,21.601073,23.554433,1.95336,5913,977
q005,bm25,5,,5.76,5,23.554433,1.0,2,22.039113,21.601073,1.380654,20.433053,23.554433,3.12138,8473,1369
q005,bm25,10,,5.67,10,23.554433,1.0,3,20.117806,20.31396,2.352979,17.31583,23.554433,6.238603,28891,4731
q005,hybrid,3,0.7,397.83,3,0.001542,0.0,8,0.001538,0.001539,5e-06,0.001533,0.001542,9e-06,7955,1254
q005,hybrid,5,0.7,421.98,5,0.001542,0.0,9,0.001533,0.001533,9e-06,0.001519,0.001542,2.3e-05,13136,2148
q005,hybrid,10,0.7,417.59,10,0.001542,0.0,10,0.001391,0.001513,0.000217,0.001074,0.001542,0.000469,26734,4636
q005,hybrid,5,0.5,432.26,5,0.001543,0.0,7,0.001531,0.001534,1.1e-05,0.001514,0.001543,2.9e-05,13136,2148
q006,dense,3,,655.56,3,0.722669,0.040461,4,0.713478,0.709759,0.008008,0.708006,0.722669,0.014663,5821,997
q006,dense,5,,404.11,5,0.722669,0.040461,5,0.708592,0.708006,0.008765,0.701214,0.722669,0.021455,11016,1846
q006,dense,10,,636.96,10,0.722669,0.040461,6,0.702893,0.700929,0.008515,0.694569,0.722669,0.0281,17086,2889
q006,bm25,3,,8.2,3,17.824595,1.0,1,17.665804,17.78487,0.24145,17.387946,17.824595,0.43665,7788,1303
q006,bm25,5,,6.42,5,17.824595,1.0,2,17.445498,17.387946,0.361278,16.971023,17.824595,0.853572,21657,3626
q006,bm25,10,,7.47,10,17.824595,1.0,3,15.995065,16.148854,1.588928,13.999841,17.824595,3.824754,26702,4510
q006,hybrid,3,0.7,385.53,3,0.001536,0.0,8,0.001532,0.001532,3e-06,0.00153,0.001536,6e-06,6278,1002
q006,hybrid,5,0.7,391.67,5,0.001536,0.0,9,0.001529,0.00153,6e-06,0.001521,0.001536,1.4e-05,12041,1973
q006,hybrid,10,0.7,440.98,10,0.001536,0.0,10,0.001392,0.001521,0.000215,0.001079,0.001536,0.000457,22718,3802
q006,hybrid,5,0.5,422.27,5,0.001538,0.0,7,0.00153,0.001529,5e-06,0.001525,0.001538,1.4e-05,13099,2149
q007,dense,3,,417.52,3,0.759503,0.033893,4,0.750791,0.747598,0.007634,0.745272,0.759503,0.01423,8796,1437
q007,dense,5,,654.84,5,0.759503,0.033893,5,0.746514,0.745272,0.007999,0.739062,0.759503,0.020441,13153,2171
q007,dense,10,,688.54,10,0.759503,0.033893,6,0.736831,0.737421,0.012029,0.723655,0.759503,0.035848,33649,5561
q007,bm25,3,,5.12,3,22.364798,1.0,1,21.613873,21.432923,0.678787,21.043897,22.364798,1.3209,6053,1037
q007,bm25,5,,10.7,5,22.364798,1.0,2,20.770656,21.043897,1.307488,18.965467,22.364798,3.399331,20155,3417
q007,bm25,10,,8.36,10,22.364798,1.0,3,19.035978,18.792103,2.088277,16.717382,22.364798,5.647416,28460,4821
q007,hybrid,3,0.7,380.28,3,0.001542,0.0,7,0.001542,0.001542,1e-06,0.001541,0.001542,2e-06,6202,1072
q007,hybrid,5,0.7,405.6,5,0.001542,0.0,8,0.00154,0.001541,3e-06,0.001535,0.001542,7e-06,13153,2171
q007,hybrid,10,0.7,402.01,10,0.001542,0.0,9,0.001529,0.001532,1.4e-05,0.001506,0.001542,3.7e-05,25938,4225
q007,hybrid,5,0.5,486.84,5,0.001542,0.0,10,0.001539,0.00154,4e-06,0.001531,0.001542,1.1e-05,13153,2171
q008,dense,3,,379.62,3,0.719947,0.025233,4,0.708951,0.715011,0.014975,0.691896,0.719947,0.028052,8647,1402
q008,dense,5,,656.1,5,0.719947,0.025233,5,0.700514,0.691896,0.015822,0.684788,0.719947,0.035159,26270,4415
q008,dense,10,,678.45,10,0.719947,0.025233,6,0.689559,0.682883,0.015684,0.676742,0.719947,0.043205,35124,5833
q008,bm25,3,,6.55,3,28.472479,1.0,1,25.375116,24.541926,2.776179,23.110943,28.472479,5.361536,10436,1690
q008,bm25,5,,5.94,5,28.472479,1.0,2,22.246445,23.110943,4.729337,16.988725,28.472479,11.483754,24600,4080
q008,bm25,10,,6.38,10,28.472479,1.0,3,19.142049,16.978173,4.586019,15.041747,28.472479,13.430733,41445,6775
q008,hybrid,3,0.7,410.15,3,0.001545,0.0,7,0.001543,0.001544,3e-06,0.001539,0.001545,6e-06,10436,1690
q008,hybrid,5,0.7,429.17,5,0.001545,0.0,8,0.001538,0.001539,7e-06,0.001528,0.001545,1.7e-05,16775,2711
q008,hybrid,10,0.7,425.48,10,0.001545,0.0,9,0.001394,0.001523,0.000221,0.001072,0.001545,0.000473,48417,8054
q008,hybrid,5,0.5,417.73,5,0.001544,0.0,10,0.001537,0.00154,8e-06,0.001527,0.001544,1.8e-05,16775,2711
q009,dense,3,,399.37,3,0.720756,0.013899,4,0.711506,0.707213,0.008018,0.706548,0.720756,0.014209,8647,1402
q009,dense,5,,678.28,5,0.720756,0.013899,5,0.702269,0.706548,0.013864,0.68798,0.720756,0.032776,11039,1821
q009,dense,10,,577.71,10,0.720756,0.013899,6,0.692396,0.687802,0.01408,0.680017,0.720756,0.040739,22209,3687
q009,bm25,3,,43.08,3,51.748067,1.0,1,45.175278,49.305812,9.349438,34.471956,51.748067,17.276111,10436,1690
q009,bm25,5,,59.6,5,51.748067,1.0,2,40.662061,34.471956,9.057657,33.357362,51.748067,18.390705,24538,4070
q009,bm25,10,,27.53,10,51.748067,1.0,3,34.937619,31.895931,8.563192,27.839551,51.748067,23.908515,37407,6261
q009,hybrid,3,0.7,459.17,3,0.001545,0.0,7,0.001542,0.001544,4e-06,0.001538,0.001545,7e-06,8647,1402
q009,hybrid,5,0.7,426.7,5,0.001545,0.0,8,0.00154,0.001538,4e-06,0.001536,0.001545,9e-06,11039,1821
q009,hybrid,10,0.7,426.73,10,0.001545,0.0,9,0.001531,0.001535,1.1e-05,0.001515,0.001545,2.9e-05,18258,3054
q009,hybrid,5,0.5,426.25,5,0.001544,0.0,10,0.001539,0.001536,5e-06,0.001536,0.001544,8e-06,13503,2234
q010,dense,3,,377.81,3,0.737756,0.044386,4,0.719235,0.714062,0.016553,0.705886,0.737756,0.03187,4819,817
q010,dense,5,,663.32,5,0.737756,0.044386,5,0.712534,0.705886,0.014875,0.70207,0.737756,0.035686,10130,1663
q010,dense,10,,379.62,10,0.737756,0.044386,6,0.700066,0.699301,0.017023,0.681421,0.737756,0.056335,26052,4176
q010,bm25,3,,5.1,3,16.588206,1.0,1,14.289554,13.620875,2.047895,12.659582,16.588206,3.928625,5808,973
q010,bm25,5,,7.17,5,16.588206,1.0,2,12.882757,12.659582,2.415053,10.549959,16.588206,6.038247,11844,1946
q010,bm25,10,,4.76,10,16.588206,1.0,3,11.450376,10.483612,2.214056,9.714863,16.588206,6.873343,27577,4490
q010,hybrid,3,0.7,368.03,3,0.001546,0.0,7,0.00154,0.001538,5e-06,0.001535,0.001546,1e-05,9521,1564
q010,hybrid,5,0.7,398.92,5,0.001546,0.0,8,0.001535,0.001535,8e-06,0.001523,0.001546,2.2e-05,17500,2838
q010,hybrid,10,0.7,375.65,10,0.001546,0.0,9,0.001395,0.001522,0.000219,0.001075,0.001546,0.00047,24841,4026
q010,hybrid,5,0.5,419.26,5,0.001546,0.0,10,0.001535,0.001536,9e-06,0.001522,0.001546,2.3e-05,14228,2361
q011,dense,3,,434.2,3,0.736742,0.027294,4,0.728983,0.734994,0.011956,0.715215,0.736742,0.021527,3538,589
q011,dense,5,,647.3,5,0.736742,0.027294,5,0.717368,0.715215,0.018013,0.699614,0.736742,0.037128,8821,1416
q011,dense,10,,661.41,10,0.736742,0.027294,6,0.705313,0.698569,0.017681,0.688223,0.736742,0.048519,18639,2985
q011,bm25,3,,9.38,3,26.937752,1.0,1,24.501245,23.476963,2.118974,23.08902,26.937752,3.848733,7413,1206
q011,bm25,5,,7.55,5,26.937752,1.0,2,23.025993,23.08902,2.529235,20.435451,26.937752,6.502301,11932,1898
q011,bm25,10,,7.57,10,26.937752,1.0,3,21.179867,20.202731,2.605931,18.635011,26.937752,8.302742,18768,3059
q011,hybrid,3,0.7,410.26,3,0.00154,0.0,7,0.001538,0.001539,2e-06,0.001536,0.00154,4e-06,5131,865
q011,hybrid,5,0.7,403.18,5,0.00154,0.0,8,0.001535,0.001536,5e-06,0.001527,0.00154,1.3e-05,9767,1586
q011,hybrid,10,0.7,408.18,10,0.00154,0.0,9,0.001485,0.001526,0.000142,0.001082,0.00154,0.000458,18388,3017
q011,hybrid,5,0.5,405.39,5,0.001538,0.0,10,0.001536,0.001537,4e-06,0.001529,0.001538,9e-06,12082,1964
q012,dense,3,,403.29,3,0.752014,0.040965,4,0.725494,0.715903,0.023259,0.708565,0.752014,0.04345,8529,1370
q012,dense,5,,653.5,5,0.752014,0.040965,5,0.716943,0.708565,0.020193,0.703552,0.752014,0.048463,11622,1889
q012,dense,10,,369.0,10,0.752014,0.040965,6,0.708782,0.703208,0.016007,0.69931,0.752014,0.052705,36541,6183
q012,bm25,3,,4.07,3,18.321531,1.0,1,17.092112,16.797628,1.111822,16.157177,18.321531,2.164354,7478,1203
q012,bm25,5,,7.65,5,18.321531,1.0,2,16.52675,16.157177,1.108308,15.530664,18.321531,2.790867,9540,1557
q012,bm25,10,,4.89,10,18.321531,1.0,3,15.552668,15.422963,1.325702,13.919389,18.321531,4.402142,33971,5661
q012,hybrid,3,0.7,397.84,3,0.001542,0.0,7,0.001539,0.001537,3e-06,0.001536,0.001542,5e-06,8529,1370
q012,hybrid,5,0.7,398.38,5,0.001542,0.0,8,0.001536,0.001536,4e-06,0.001533,0.001542,9e-06,13410,2209
q012,hybrid,10,0.7,410.16,10,0.001542,0.0,9,0.001526,0.001528,1.2e-05,0.001512,0.001542,3e-05,34943,5758
q012,hybrid,5,0.5,404.53,5,0.001541,0.0,10,0.001534,0.001533,4e-06,0.00153,0.001541,1.1e-05,13410,2209
q013,dense,3,,680.56,3,0.752752,0.021622,4,0.72,0.703722,0.028364,0.703527,0.752752,0.049225,8647,1402
q013,dense,5,,411.34,5,0.752752,0.021622,5,0.713269,0.703527,0.022073,0.703001,0.752752,0.049751,13646,2308
q013,dense,10,,413.21,10,0.752752,0.021622,6,0.706373,0.702303,0.016451,0.69786,0.752752,0.054892,23377,3971
q013,bm25,3,,7.3,3,34.74392,1.0,1,33.667835,33.922073,1.223183,32.337513,34.74392,2.406407,10070,1583
q013,bm25,5,,8.43,5,34.74392,1.0,2,32.761795,32.337513,1.534796,31.033121,34.74392,3.710799,10669,1686
q013,bm25,10,,8.01,10,34.74392,1.0,3,29.43372,28.95316,3.672734,25.409101,34.74392,9.334819,31942,5189
q013,hybrid,3,0.7,405.62,3,0.001545,0.0,7,0.001539,0.001542,8e-06,0.00153,0.001545,1.5e-05,10436,1690
q013,hybrid,5,0.7,440.62,5,0.001545,0.0,8,0.001532,0.00153,1.1e-05,0.001521,0.001545,2.3e-05,23651,3912
q013,hybrid,10,0.7,406.87,10,0.001545,0.0,9,0.001304,0.001301,0.000241,0.00107,0.001545,0.000475,33643,5681
q013,hybrid,5,0.5,387.32,5,0.001544,0.0,10,0.001533,0.001527,1e-05,0.001526,0.001544,1.9e-05,23651,3912
q014,dense,3,,392.2,3,0.712664,0.026791,4,0.709518,0.710412,0.003676,0.705477,0.712664,0.007187,2940,532
q014,dense,5,,720.02,5,0.712664,0.026791,5,0.706587,0.705477,0.004833,0.701198,0.712664,0.011465,9640,1698
q014,dense,10,,387.61,10,0.712664,0.026791,6,0.701227,0.699925,0.006626,0.694008,0.712664,0.018656,19840,3385
q014,bm25,3,,10.59,3,26.54548,1.0,1,25.358572,24.781575,1.028024,24.74866,26.54548,1.79682,8439,1366
q014,bm25,5,,8.47,5,26.54548,1.0,2,24.69335,24.74866,1.17254,23.51272,26.54548,3.03276,12192,2006
q014,bm25,10,,10.37,10,26.54548,1.0,3,23.783584,23.451612,1.282969,22.080848,26.54548,4.464632,23481,3885
q014,hybrid,3,0.7,391.97,3,0.001537,0.0,8,0.001535,0.001535,2e-06,0.001534,0.001537,3e-06,7994,1298
q014,hybrid,5,0.7,410.49,5,0.001537,0.0,9,0.001534,0.001534,3e-06,0.001528,0.001537,9e-06,11215,1850
q014,hybrid,10,0.7,396.42,10,0.001537,0.0,10,0.001482,0.001528,0.000142,0.001079,0.001537,0.000459,19287,3259
q014,hybrid,5,0.5,404.57,5,0.001537,0.0,7,0.001531,0.001531,5e-06,0.001526,0.001537,1.2e-05,9363,1546
q015,dense,3,,409.04,3,0.734524,0.042809,4,0.729745,0.727674,0.004151,0.727037,0.734524,0.007487,4970,839
q015,dense,5,,678.32,5,0.734524,0.042809,5,0.726187,0.727037,0.005809,0.719178,0.734524,0.015346,10334,1683
q015,dense,10,,367.7,10,0.734524,0.042809,6,0.72028,0.719056,0.007687,0.710591,0.734524,0.023932,18715,3091
q015,bm25,3,,7.67,3,17.123543,1.0,1,14.516868,13.995946,2.389193,12.431115,17.123543,4.692429,7348,1159
q015,bm25,5,,7.27,5,17.123543,1.0,2,13.529166,12.431115,2.171076,11.801506,17.123543,5.322038,11686,1904
q015,bm25,10,,4.8,10,17.123543,1.0,3,12.267691,11.801018,2.033134,10.044579,17.123543,7.078964,30373,5101
q015,hybrid,3,0.7,414.03,3,0.001544,0.0,8,0.001537,0.001539,7e-06,0.001529,0.001544,1.5e-05,9000,1452
q015,hybrid,5,0.7,399.1,5,0.001544,0.0,9,0.001533,0.001529,8e-06,0.001525,0.001544,1.9e-05,16100,2586
q015,hybrid,10,0.7,371.84,10,0.001544,0.0,10,0.001349,0.001522,0.000235,0.001072,0.001544,0.000472,21183,3466
q015,hybrid,5,0.5,409.91,5,0.001544,0.0,7,0.001533,0.001531,7e-06,0.001524,0.001544,2e-05,16100,2586
q016,dense,3,,379.56,3,0.730212,0.016045,4,0.728475,0.729607,0.002503,0.725606,0.730212,0.004606,4736,797
q016,dense,5,,676.75,5,0.730212,0.016045,5,0.726405,0.725606,0.003472,0.721963,0.730212,0.008248,11298,1885
q016,dense,10,,388.34,10,0.730212,0.016045,6,0.719447,0.719828,0.008426,0.705985,0.730212,0.024227,21609,3498
q016,bm25,3,,9.18,3,45.41559,1.0,1,39.15894,38.530196,5.967173,33.531034,45.41559,11.884556,8672,1393
q016,bm25,5,,8.81,5,45.41559,1.0,2,35.841179,33.531034,6.227154,30.046324,45.41559,15.369266,10414,1697
q016,bm25,10,,9.37,10,45.41559,1.0,3,31.971213,29.79531,5.871127,26.878042,45.41559,18.537549,17433,2854
q016,hybrid,3,0.7,388.3,3,0.001544,0.0,8,0.001541,0.001543,5e-06,0.001535,0.001544,9e-06,5078,860
q016,hybrid,5,0.7,529.21,5,0.001544,0.0,9,0.001537,0.001535,6e-06,0.00153,0.001544,1.4e-05,10414,1697
q016,hybrid,10,0.7,399.38,10,0.001544,0.0,10,0.00153,0.001529,9e-06,0.001517,0.001544,2.7e-05,27857,4580
q016,hybrid,5,0.5,443.08,5,0.001544,0.0,7,0.001538,0.001536,5e-06,0.001534,0.001544,1.1e-05,10414,1697
q017,dense,3,,399.43,3,0.722561,0.011754,4,0.720205,0.721677,0.003344,0.716377,0.722561,0.006184,5078,860
q017,dense,5,,680.2,5,0.722561,0.011754,5,0.717219,0.716377,0.005025,0.710315,0.722561,0.012246,11640,1948
q017,dense,10,,368.79,10,0.722561,0.011754,6,0.710464,0.709271,0.008479,0.697955,0.722561,0.024607,29507,4843
q017,bm25,3,,15.22,3,61.344249,1.0,1,52.377592,51.13639,8.414991,44.652138,61.344249,16.692111,6505,1108
q017,bm25,5,,19.53,5,61.344249,1.0,2,47.759028,44.652138,8.68569,40.550825,61.344249,20.793424,9884,1678
q017,bm25,10,,20.95,10,61.344249,1.0,3,41.975624,40.029671,8.649337,33.00909,61.344249,28.335159,21289,3512
q017,hybrid,3,0.7,392.8,3,0.001545,0.0,7,0.001541,0.001544,6e-06,0.001534,0.001545,1.1e-05,5078,860
q017,hybrid,5,0.7,401.67,5,0.001545,0.0,8,0.001537,0.001534,7e-06,0.001529,0.001545,1.6e-05,13155,2172
q017,hybrid,10,0.7,430.65,10,0.001545,0.0,9,0.001439,0.001525,0.000192,0.001072,0.001545,0.000473,23364,3765
q017,hybrid,5,0.5,431.1,5,0.001544,0.0,10,0.001535,0.001531,9e-06,0.001524,0.001544,2e-05,13155,2172
q018,dense,3,,633.37,3,0.719348,0.039475,4,0.709766,0.706756,0.008487,0.703195,0.719348,0.016154,5665,1017
q018,dense,5,,669.16,5,0.719348,0.039475,5,0.707073,0.703195,0.007044,0.702962,0.719348,0.016387,9097,1606
q018,dense,10,,425.75,10,0.719348,0.039475,6,0.703135,0.702733,0.006423,0.697636,0.719348,0.021713,17318,2954
q018,bm25,3,,5.22,3,18.185579,1.0,1,17.94021,17.850181,0.214991,17.78487,18.185579,0.40071,19552,3286
q018,bm25,5,,5.12,5,18.185579,1.0,2,16.811664,17.78487,1.563499,14.860437,18.185579,3.325142,21028,3530
q018,bm25,10,,4.81,10,18.185579,1.0,3,15.617727,14.772329,1.640739,14.240699,18.185579,3.944881,30486,5085
q018,hybrid,3,0.7,420.37,3,0.001534,0.0,7,0.001533,0.001533,1e-06,0.001532,0.001534,2e-06,7738,1261
q018,hybrid,5,0.7,371.2,5,0.001534,0.0,8,0.00153,0.001532,5e-06,0.001523,0.001534,1.1e-05,14559,2408
q018,hybrid,10,0.7,428.2,10,0.001534,0.0,9,0.001393,0.001522,0.000216,0.001079,0.001534,0.000456,22562,3822
q018,hybrid,5,0.5,388.5,5,0.001534,0.0,10,0.001532,0.001533,2e-06,0.001528,0.001534,6e-06,14559,2408
q019,dense,3,,388.82,3,0.757125,0.033509,4,0.751386,0.750806,0.005472,0.746227,0.757125,0.010898,5078,860
q019,dense,5,,665.7,5,0.757125,0.033509,5,0.748611,0.746227,0.005432,0.744007,0.757125,0.013119,7269,1236
q019,dense,10,,669.66,10,0.757125,0.033509,6,0.742742,0.742731,0.007461,0.733881,0.757125,0.023244,26097,4355
q019,bm25,3,,5.08,3,22.550212,1.0,1,20.591478,19.671942,1.697369,19.552279,22.550212,2.997934,5935,1005
q019,bm25,5,,5.22,5,22.550212,1.0,2,20.110771,19.552279,1.371431,19.27122,22.550212,3.278993,10791,1837
q019,bm25,10,,10.03,10,22.550212,1.0,3,18.873796,19.158458,1.758179,16.466479,22.550212,6.083734,31493,5274
q019,hybrid,3,0.7,454.43,3,0.001546,0.0,7,0.001543,0.001542,3e-06,0.00154,0.001546,6e-06,5935,1005
q019,hybrid,5,0.7,408.58,5,0.001546,0.0,8,0.001539,0.00154,6e-06,0.00153,0.001546,1.5e-05,10141,1722
q019,hybrid,10,0.7,404.53,10,0.001546,0.0,9,0.001396,0.00153,0.000225,0.001067,0.001546,0.000479,26097,4355
q019,hybrid,5,0.5,407.1,5,0.001546,0.0,10,0.001538,0.001541,7e-06,0.001529,0.001546,1.7e-05,14063,2314
q020,dense,3,,618.48,3,0.728321,0.026227,4,0.714002,0.712878,0.013791,0.700807,0.728321,0.027514,8647,1402
q020,dense,5,,385.82,5,0.728321,0.026227,5,0.705668,0.700807,0.015045,0.691732,0.728321,0.036588,26270,4415
q020,dense,10,,417.14,10,0.728321,0.026227,6,0.696661,0.690877,0.013874,0.685032,0.728321,0.043289,31694,5349
q020,bm25,3,,9.13,3,27.712819,1.0,1,26.215916,26.587905,1.713454,24.347025,27.712819,3.365794,10436,1690
q020,bm25,5,,7.89,5,27.712819,1.0,2,23.509295,24.347025,3.958565,18.483548,27.712819,9.229271,24425,4047
q020,bm25,10,,7.3,10,27.712819,1.0,3,20.457796,18.420625,4.193655,16.648857,27.712819,11.063962,33529,5544
q020,hybrid,3,0.7,393.71,3,0.001545,0.0,7,0.001543,0.001544,3e-06,0.001539,0.001545,6e-06,10436,1690
q020,hybrid,5,0.7,392.4,5,0.001545,0.0,8,0.001537,0.001539,8e-06,0.001525,0.001545,2e-05,13153,2171
q020,hybrid,10,0.7,424.91,10,0.001545,0.0,9,0.001483,0.001522,0.000144,0.001075,0.001545,0.00047,49404,8252
q020,hybrid,5,0.5,409.21,5,0.001544,0.0,10,0.001536,0.00154,1e-05,0.001522,0.001544,2.2e-05,16775,2711
q021,dense,3,,646.8,3,0.720804,0.021281,4,0.711865,0.707656,0.007746,0.707135,0.720804,0.013669,1924,315
q021,dense,5,,713.32,5,0.720804,0.021281,5,0.709524,0.707135,0.006368,0.705275,0.720804,0.01553,7588,1211
q021,dense,10,,651.87,10,0.720804,0.021281,6,0.703902,0.704026,0.007557,0.69565,0.720804,0.025155,18404,3042
q021,bm25,3,,16.47,3,33.80031,1.0,1,25.7947,21.861062,6.933407,21.722728,33.80031,12.077582,8565,1370
q021,bm25,5,,12.27,5,33.80031,1.0,2,23.416525,21.722728,5.906367,19.149792,33.80031,14.650518,15861,2478
q021,bm25,10,,17.23,10,33.80031,1.0,3,20.980559,19.083472,4.711074,17.971121,33.80031,15.829189,28315,4520
q021,hybrid,3,0.7,442.22,3,0.001538,0.0,8,0.001532,0.001537,9e-06,0.001523,0.001538,1.5e-05,8648,1387
q021,hybrid,5,0.7,431.38,5,0.001538,0.0,9,0.00144,0.001523,0.0002,0.001082,0.001538,0.000456,9847,1588
q021,hybrid,10,0.7,488.92,10,0.001538,0.0,10,0.001258,0.001081,0.000234,0.00107,0.001538,0.000467,16252,2674
q021,hybrid,5,0.5,1027.97,5,0.00154,0.0,7,0.001381,0.001528,0.00034,0.000773,0.00154,0.000767,9847,1588
q022,dense,3,,411.56,3,0.722696,0.038388,4,0.720331,0.722016,0.003524,0.71628,0.722696,0.006416,8121,1312
q022,dense,5,,391.69,5,0.722696,0.038388,5,0.717723,0.71628,0.004366,0.713375,0.722696,0.009322,16100,2586
q022,dense,10,,362.61,10,0.722696,0.038388,6,0.711807,0.712828,0.007586,0.699863,0.722696,0.022833,22019,3622
