question_id,method,k,alpha,latency_ms,num_chunks,top_score,avg_score,median_score,std_score,min_score,max_score,score_range,total_chars,total_words
q007,dense,5,,516.86,5,0.759503,0.746514,0.745272,0.007999,0.739062,0.759503,0.020441,13153,2171
q007,dense,10,,673.89,10,0.759503,0.736831,0.737421,0.012029,0.723655,0.759503,0.035848,33649,5561
q007,bm25,3,,6.23,3,22.366351,21.615753,21.435159,0.67857,21.04575,22.366351,1.320602,6053,1037
q007,bm25,5,,6.36,5,22.366351,20.772577,21.04575,1.307305,18.967827,22.366351,3.398524,20155,3417
q007,bm25,10,,10.99,10,22.366351,19.037687,18.794415,2.088489,16.71883,22.366351,5.647521,28460,4821
q007,hybrid,3,0.7,388.26,3,0.016052,0.015976,0.016021,0.000106,0.015856,0.016052,0.000197,6202,1072
q007,hybrid,5,0.7,406.56,5,0.016052,0.015775,0.015856,0.000302,0.015336,0.016052,0.000716,13153,2171
q007,hybrid,10,0.7,390.21,10,0.016052,0.014781,0.015055,0.001237,0.012804,0.016052,0.003248,25938,4225
q007,hybrid,5,0.5,407.94,5,0.016009,0.015704,0.015772,0.000423,0.014979,0.016009,0.00103,13153,2171
q008,dense,3,,398.35,3,0.719947,0.708951,0.715011,0.014975,0.691896,0.719947,0.028052,8647,1402
q008,dense,5,,385.99,5,0.719947,0.700514,0.691896,0.015822,0.684788,0.719947,0.035159,26270,4415
q008,dense,10,,648.96,10,0.719947,0.689559,0.682883,0.015684,0.676742,0.719947,0.043205,35124,5833
q008,bm25,3,,11.45,3,28.476339,25.3786,24.54539,2.776536,23.114072,28.476339,5.362266,10436,1690
q008,bm25,5,,5.95,5,28.476339,22.249592,23.114072,4.729889,16.990878,28.476339,11.485461,24600,4080
q008,bm25,10,,6.71,10,28.476339,19.144644,16.980163,4.586646,15.044695,28.476339,13.431643,41445,6775
q008,hybrid,3,0.7,425.33,3,0.016314,0.016074,0.016208,0.000329,0.015699,0.016314,0.000615,10436,1690
q008,hybrid,5,0.7,400.17,5,0.016314,0.015616,0.015699,0.000713,0.01458,0.016314,0.001734,16775,2711
q008,hybrid,10,0.7,377.75,10,0.016314,0.013672,0.014239,0.002352,0.010448,0.016314,0.005866,48417,8054
q008,hybrid,5,0.5,386.55,5,0.016261,0.01553,0.015749,0.000807,0.014496,0.016261,0.001765,16775,2711
q009,dense,3,,648.54,3,0.720756,0.711506,0.707213,0.008018,0.706548,0.720756,0.014209,8647,1402
q009,dense,5,,657.0,5,0.720756,0.702269,0.706548,0.013864,0.68798,0.720756,0.032776,11039,1821
q009,dense,10,,672.99,10,0.720756,0.692396,0.687802,0.01408,0.680017,0.720756,0.040739,22219,3689
q009,bm25,3,,10.31,3,51.755208,45.181513,49.313296,9.351266,34.476035,51.755208,17.279172,10436,1690
q009,bm25,5,,12.19,5,51.755208,40.66755,34.476035,9.059343,33.36017,51.755208,18.395038,24538,4070
q009,bm25,10,,13.44,10,51.755208,34.942099,31.900175,8.56477,27.842966,51.755208,23.912241,37407,6261
q009,hybrid,3,0.7,415.2,3,0.016314,0.016037,0.016208,0.000392,0.015589,0.016314,0.000725,8647,1402
q009,hybrid,5,0.7,420.07,5,0.016314,0.015769,0.015589,0.00046,0.015349,0.016314,0.000965,11039,1821
q009,hybrid,10,0.7,405.09,10,0.016314,0.015,0.015279,0.000985,0.013536,0.016314,0.002778,18258,3054
q009,hybrid,5,0.5,426.53,5,0.016261,0.015741,0.015399,0.000475,0.015385,0.016261,0.000877,13503,2234
q010,dense,3,,610.42,3,0.737756,0.719235,0.714062,0.016553,0.705886,0.737756,0.03187,4819,817
q010,dense,5,,666.53,5,0.737756,0.712534,0.705886,0.014875,0.70207,0.737756,0.035686,10130,1663
q010,dense,10,,685.01,10,0.737756,0.700066,0.699301,0.017023,0.681421,0.737756,0.056335,26062,4178
q010,bm25,3,,3.47,3,16.590678,14.291276,13.622724,2.048643,12.660427,16.590678,3.930251,5808,973
q010,bm25,5,,3.65,5,16.590678,12.884421,12.660427,2.415455,10.551093,16.590678,6.039585,11844,1946
q010,bm25,10,,3.61,10,16.590678,11.451776,10.484559,2.214432,9.715621,16.590678,6.875057,27577,4490
q010,hybrid,3,0.7,392.17,3,0.016393,0.015747,0.015553,0.000575,0.015294,0.016393,0.0011,9521,1564
q010,hybrid,5,0.7,395.31,5,0.016393,0.015273,0.015294,0.000808,0.014199,0.016393,0.002194,17500,2838
q010,hybrid,10,0.7,406.59,10,0.016393,0.01373,0.014103,0.002005,0.010769,0.016393,0.005624,24841,4026
q010,hybrid,5,0.5,382.32,5,0.016393,0.015273,0.015388,0.000821,0.014155,0.016393,0.002239,14228,2361
q011,dense,3,,363.81,3,0.736742,0.728983,0.734994,0.011956,0.715215,0.736742,0.021527,3538,589
q011,dense,5,,643.43,5,0.736742,0.717368,0.715215,0.018013,0.699614,0.736742,0.037128,8821,1416
q011,dense,10,,709.85,10,0.736742,0.705313,0.698569,0.017681,0.688223,0.736742,0.048519,18639,2985
q011,bm25,3,,12.68,3,26.941642,24.504516,23.479961,2.119511,23.091946,26.941642,3.849697,7413,1206
q011,bm25,5,,12.59,5,26.941642,23.029092,23.091946,2.529688,20.43777,26.941642,6.503873,11932,1898
q011,bm25,10,,14.05,10,26.941642,21.182337,20.205194,2.606639,18.636762,26.941642,8.304881,18768,3059
q011,hybrid,3,0.7,407.73,3,0.015768,0.015597,0.015657,0.000208,0.015366,0.015768,0.000402,5131,865
q011,hybrid,5,0.7,401.27,5,0.015768,0.015321,0.015366,0.000489,0.014519,0.015768,0.001248,9767,1586
q011,hybrid,10,0.7,386.96,10,0.015768,0.014525,0.014475,0.001233,0.011475,0.015768,0.004293,18388,3017
q011,hybrid,5,0.5,395.67,5,0.015659,0.015382,0.015512,0.000328,0.014821,0.015659,0.000838,12082,1964
q012,dense,3,,663.63,3,0.752014,0.725494,0.715903,0.023259,0.708565,0.752014,0.04345,8529,1370
q012,dense,5,,660.35,5,0.752014,0.716943,0.708565,0.020193,0.703552,0.752014,0.048463,11622,1889
q012,dense,10,,391.42,10,0.752014,0.708782,0.703208,0.016007,0.69931,0.752014,0.052705,36550,6185
q012,bm25,3,,7.35,3,18.321838,17.093933,16.799855,1.110465,16.160106,18.321838,2.161732,7478,1203
q012,bm25,5,,7.62,5,18.321838,16.528396,16.160106,1.10782,15.531678,18.321838,2.79016,9540,1557
q012,bm25,10,,6.66,10,18.321838,15.553758,15.424377,1.326307,13.915221,18.321838,4.406617,33971,5661
q012,hybrid,3,0.7,405.65,3,0.015978,0.015677,0.015529,0.000261,0.015523,0.015978,0.000455,8529,1370
q012,hybrid,5,0.7,530.74,5,0.015978,0.015455,0.015523,0.000356,0.015084,0.015978,0.000894,13410,2209
q012,hybrid,10,0.7,366.77,10,0.015978,0.014522,0.014609,0.001037,0.01326,0.015978,0.002718,34952,5760
q012,hybrid,5,0.5,374.77,5,0.015877,0.015203,0.015038,0.00041,0.014855,0.015877,0.001022,13410,2209
q013,dense,3,,402.61,3,0.752752,0.72,0.703722,0.028364,0.703527,0.752752,0.049225,8647,1402
q013,dense,5,,680.5,5,0.752752,0.713269,0.703527,0.022073,0.703001,0.752752,0.049751,13646,2308
q013,dense,10,,407.19,10,0.752752,0.706373,0.702303,0.016451,0.69786,0.752752,0.054892,23377,3971
q013,bm25,3,,9.59,3,34.748683,33.669558,33.919483,1.223385,32.34051,34.748683,2.408173,10070,1583
q013,bm25,5,,6.27,5,34.748683,32.763359,32.34051,1.534969,31.035147,34.748683,3.713536,10669,1686
q013,bm25,10,,6.88,10,34.748683,29.435406,28.955072,3.672543,25.413613,34.748683,9.33507,31942,5189
q013,hybrid,3,0.7,391.89,3,0.016314,0.015705,0.016029,0.00082,0.014773,0.016314,0.001541,10436,1690
q013,hybrid,5,0.7,406.36,5,0.016314,0.015078,0.014773,0.001037,0.014075,0.016314,0.002239,23651,3912
q013,hybrid,10,0.7,405.41,10,0.016314,0.012913,0.012683,0.002399,0.010294,0.016314,0.00602,33643,5681
q013,hybrid,5,0.5,413.24,5,0.016261,0.015154,0.01452,0.000954,0.014407,0.016261,0.001854,23651,3912
q014,dense,3,,610.2,3,0.712664,0.709518,0.710412,0.003676,0.705477,0.712664,0.007187,2940,532
q014,dense,5,,639.98,5,0.712664,0.706587,0.705477,0.004833,0.701198,0.712664,0.011465,9640,1698
q014,dense,10,,655.64,10,0.712664,0.701227,0.699925,0.006626,0.694008,0.712664,0.018656,19840,3385
q014,bm25,3,,15.76,3,26.549598,25.362024,24.785581,1.028616,24.750893,26.549598,1.798705,8439,1366
q014,bm25,5,,17.78,5,26.549598,24.696388,24.750893,1.173208,23.515547,26.549598,3.034052,12192,2006
q014,bm25,10,,10.17,10,26.549598,23.78136,23.454234,1.287685,22.083577,26.549598,4.466021,23491,3887
q014,hybrid,3,0.7,401.87,3,0.015585,0.01537,0.015286,0.000188,0.015238,0.015585,0.000347,5257,839
q014,hybrid,5,0.7,423.43,5,0.015585,0.015198,0.015238,0.000335,0.01466,0.015585,0.000925,11215,1850
q014,hybrid,10,0.7,421.11,10,0.015585,0.014285,0.01459,0.001318,0.011111,0.015585,0.004474,19287,3259
q014,hybrid,5,0.5,405.3,5,0.015527,0.01494,0.014955,0.000392,0.014526,0.015527,0.001001,12078,1986
q015,dense,3,,656.96,3,0.734524,0.729745,0.727674,0.004151,0.727037,0.734524,0.007487,4970,839
q015,dense,5,,700.3,5,0.734524,0.726187,0.727037,0.005809,0.719178,0.734524,0.015346,10334,1683
q015,dense,10,,615.55,10,0.734524,0.72028,0.719056,0.007687,0.710591,0.734524,0.023932,18715,3091
q015,bm25,3,,4.98,3,17.125837,14.518674,13.998291,2.389848,12.431894,17.125837,4.693942,7348,1159
q015,bm25,5,,5.01,5,17.125837,13.530745,12.431894,2.171658,11.802249,17.125837,5.323588,11686,1904
q015,bm25,10,,6.71,10,17.125837,12.269191,11.802058,2.033426,10.046079,17.125837,7.079758,30373,5101
q015,hybrid,3,0.7,381.63,3,0.016208,0.015559,0.015701,0.00073,0.014769,0.016208,0.001439,9000,1452
q015,hybrid,5,0.7,433.71,5,0.016208,0.015159,0.014769,0.000759,0.014428,0.016208,0.001781,16100,2586
q015,hybrid,10,0.7,377.31,10,0.016208,0.013277,0.014153,0.002253,0.010448,0.016208,0.005761,21183,3466
q015,hybrid,5,0.5,433.73,5,0.016261,0.015146,0.014955,0.0007,0.014359,0.016261,0.001902,16100,2586
q016,dense,3,,649.06,3,0.730212,0.728475,0.729607,0.002503,0.725606,0.730212,0.004606,4736,797
q016,dense,5,,418.43,5,0.730212,0.726405,0.725606,0.003472,0.721963,0.730212,0.008248,11308,1887
q016,dense,10,,390.35,10,0.730212,0.719447,0.719828,0.008426,0.705985,0.730212,0.024227,21619,3500
q016,bm25,3,,9.84,3,45.420981,39.163788,38.533067,5.966886,33.537316,45.420981,11.883664,8672,1393
q016,bm25,5,,12.91,5,45.420981,35.845175,33.537316,6.227869,30.049028,45.420981,15.371953,10414,1697
q016,bm25,10,,14.05,10,45.420981,31.974945,29.798768,5.871673,26.880668,45.420981,18.540312,17433,2854
q016,hybrid,3,0.7,416.03,3,0.016208,0.015864,0.016091,0.000498,0.015294,0.016208,0.000915,5078,860
q016,hybrid,5,0.7,416.36,5,0.016208,0.015468,0.015294,0.000648,0.014839,0.016208,0.00137,10414,1697
q016,hybrid,10,0.7,385.27,10,0.016208,0.014848,0.014811,0.000829,0.013643,0.016208,0.002565,27857,4580
q016,hybrid,5,0.5,414.38,5,0.016261,0.015586,0.015388,0.000472,0.015183,0.016261,0.001078,10414,1697
q017,dense,3,,654.03,3,0.722561,0.720205,0.721677,0.003344,0.716377,0.722561,0.006184,5078,860
q017,dense,5,,675.66,5,0.722561,0.717219,0.716377,0.005025,0.710315,0.722561,0.012246,11650,1950
q017,dense,10,,396.65,10,0.722561,0.710464,0.709271,0.008479,0.697955,0.722561,0.024607,29517,4845
q017,bm25,3,,15.42,3,61.349162,52.383723,51.142601,8.413816,44.659404,61.349162,16.689758,6505,1108
q017,bm25,5,,12.96,5,61.349162,47.764592,44.659404,8.685712,40.55387,61.349162,20.795292,9884,1678
q017,bm25,10,,15.03,10,61.349162,41.980921,40.03299,8.649469,33.013779,61.349162,28.335384,21289,3512
q017,hybrid,3,0.7,396.03,3,0.016314,0.015914,0.016208,0.000603,0.015221,0.016314,0.001093,5078,860
q017,hybrid,5,0.7,413.12,5,0.016314,0.015506,0.015221,0.000709,0.014769,0.016314,0.001545,13155,2172
q017,hybrid,10,0.7,405.52,10,0.016314,0.014033,0.01443,0.001988,0.010448,0.016314,0.005866,23374,3767
q017,hybrid,5,0.5,412.86,5,0.016261,0.015319,0.014929,0.000885,0.014359,0.016261,0.001902,13155,2172
q018,dense,3,,646.91,3,0.719348,0.709766,0.706756,0.008487,0.703195,0.719348,0.016154,5665,1017
q018,dense,5,,669.2,5,0.719348,0.707073,0.703195,0.007044,0.702962,0.719348,0.016387,9097,1606
q018,dense,10,,679.24,10,0.719348,0.703135,0.702733,0.006423,0.697636,0.719348,0.021713,17318,2954
q018,bm25,3,,4.48,3,18.187702,17.942611,17.853014,0.214798,17.787116,18.187702,0.400586,19552,3286
q018,bm25,5,,5.47,5,18.187702,16.813612,17.787116,1.564103,14.861651,18.187702,3.326052,21028,3530
q018,bm25,10,,8.45,10,18.187702,15.619483,14.773959,1.641174,14.241864,18.187702,3.945839,30486,5085
q018,hybrid,3,0.7,406.24,3,0.015223,0.0151,0.015084,0.000116,0.014993,0.015223,0.00023,7738,1261
q018,hybrid,5,0.7,423.8,5,0.015223,0.01486,0.014993,0.000392,0.014221,0.015223,0.001002,14559,2408
q018,hybrid,10,0.7,380.44,10,0.015223,0.013599,0.014131,0.001661,0.011111,0.015223,0.004112,22562,3822
q018,hybrid,5,0.5,396.73,5,0.015239,0.014993,0.015038,0.000197,0.014693,0.015239,0.000546,14559,2408
q019,dense,3,,657.86,3,0.757125,0.751386,0.750806,0.005472,0.746227,0.757125,0.010898,5078,860
q019,dense,5,,610.61,5,0.757125,0.748611,0.746227,0.005432,0.744007,0.757125,0.013119,7269,1236
q019,dense,10,,646.43,10,0.757125,0.742742,0.742731,0.007461,0.733881,0.757125,0.023244,26097,4355
q019,bm25,3,,8.76,3,22.551785,20.593223,19.673704,1.697216,19.554182,22.551785,2.997603,5935,1005
q019,bm25,5,,7.24,5,22.551785,20.112621,19.554182,1.371247,19.273708,22.551785,3.278077,10791,1837
q019,bm25,10,,6.24,10,22.551785,18.875594,19.160485,1.758091,16.468408,22.551785,6.083377,31493,5274
q019,hybrid,3,0.7,391.56,3,0.016393,0.016074,0.016052,0.000309,0.015776,0.016393,0.000617,5935,1005
q019,hybrid,5,0.7,404.06,5,0.016393,0.01568,0.015776,0.000589,0.014957,0.016393,0.001436,10141,1722
q019,hybrid,10,0.7,395.87,10,0.016393,0.013888,0.014876,0.002507,0.01,0.016393,0.006393,26097,4355
q019,hybrid,5,0.5,367.98,5,0.016393,0.01565,0.015877,0.000663,0.014709,0.016393,0.001684,14063,2314
q020,dense,3,,645.7,3,0.728321,0.714002,0.712878,0.013791,0.700807,0.728321,0.027514,8647,1402
q020,dense,5,,410.45,5,0.728321,0.705668,0.700807,0.015045,0.691732,0.728321,0.036588,26270,4415
q020,dense,10,,673.43,10,0.728321,0.696661,0.690877,0.013874,0.685032,0.728321,0.043289,31694,5349
q020,bm25,3,,11.62,3,27.716471,26.219504,26.591658,1.713625,24.350384,27.716471,3.366087,10436,1690
q020,bm25,5,,12.67,5,27.716471,23.512482,24.350384,3.959193,18.485498,27.716471,9.230973,24425,4047
q020,bm25,10,,57.82,10,27.716471,20.460389,18.422745,4.194412,16.650297,27.716471,11.066174,33529,5544
q020,hybrid,3,0.7,456.27,3,0.016314,0.016074,0.016208,0.000329,0.015699,0.016314,0.000615,10436,1690
q020,hybrid,5,0.7,414.74,5,0.016314,0.015581,0.015699,0.000778,0.014404,0.016314,0.001911,13153,2171
q020,hybrid,10,0.7,389.25,10,0.016314,0.014355,0.014137,0.001651,0.010769,0.016314,0.005545,49404,8252
q020,hybrid,5,0.5,401.71,5,0.016261,0.015452,0.015749,0.000939,0.01411,0.016261,0.002152,16775,2711
q021,dense,3,,402.85,3,0.720804,0.711865,0.707656,0.007746,0.707135,0.720804,0.013669,1924,315
q021,dense,5,,699.59,5,0.720804,0.709524,0.707135,0.006368,0.705275,0.720804,0.01553,7588,1211
q021,dense,10,,637.76,10,0.720804,0.703902,0.704026,0.007557,0.69565,0.720804,0.025155,18404,3042
q021,bm25,3,,15.55,3,33.807089,25.798554,21.862195,6.935928,21.726376,33.807089,12.080713,8565,1370
q021,bm25,5,,16.26,5,33.807089,23.419898,21.726376,5.908204,19.152525,33.807089,14.654564,15861,2478
q021,bm25,10,,17.41,10,33.807089,20.983208,19.08642,4.712527,17.972701,33.807089,15.834388,28315,4520
q021,hybrid,3,0.7,420.77,3,0.015531,0.015076,0.015524,0.000783,0.014172,0.015531,0.001359,8565,1370
q021,hybrid,5,0.7,435.43,5,0.015531,0.014167,0.014172,0.001654,0.011475,0.015531,0.004056,9847,1588
q021,hybrid,10,0.7,426.83,10,0.015531,0.012492,0.011383,0.002102,0.010294,0.015531,0.005237,16252,2674
q021,hybrid,5,0.5,374.36,5,0.015772,0.013725,0.014731,0.003151,0.008197,0.015772,0.007576,9847,1588
q022,dense,3,,449.05,3,0.722696,0.720331,0.722016,0.003524,0.71628,0.722696,0.006416,8121,1312
q022,dense,5,,385.63,5,0.722696,0.717723,0.71628,0.004366,0.713375,0.722696,0.009322,16100,2586
q022,dense,10,,392.81,10,0.722696,0.711807,0.712828,0.007586,0.699863,0.722696,0.022833,22019,3622
q022,bm25,3,,5.72,3,18.790537,18.510451,18.448071,0.254691,18.292745,18.790537,0.497792,16821,2757
q022,bm25,5,,6.07,5,18.790537,17.484937,18.292745,1.422633,15.748914,18.790537,3.041623,23642,3904
q022,bm25,10,,4.94,10,18.790537,15.808969,15.097461,2.016982,13.761068,18.790537,5.029469,39838,6656
q022,hybrid,3,0.7,406.41,3,0.016163,0.015867,0.016052,0.000421,0.015385,0.016163,0.000778,10436,1690
q022,hybrid,5,0.7,377.6,5,0.016163,0.015528,0.015385,0.000598,0.01469,0.016163,0.001473,16775,2711
q022,hybrid,10,0.7,390.67,10,0.016163,0.013719,0.01431,0.002239,0.010448,0.016163,0.005715,21307,3476
q022,hybrid,5,0.5,389.99,5,0.016009,0.015476,0.015385,0.000523,0.014822,0.016009,0.001187,16775,2711
q023,dense,3,,367.55,3,0.738551,0.727942,0.730906,0.01236,0.714369,0.738551,0.024181,3538,589
q023,dense,5,,673.55,5,0.738551,0.716515,0.714369,0.017986,0.697245,0.738551,0.041306,5199,876
q023,dense,10,,655.5,10,0.738551,0.703395,0.697219,0.018775,0.684425,0.738551,0.054126,13721,2252
q023,bm25,3,,6.08,3,23.003355,21.156813,20.672797,1.658383,19.794287,23.003355,3.209068,6285,1046
q023,bm25,5,,8.3,5,23.003355,20.368201,19.794287,1.621358,18.766702,23.003355,4.236653,9976,1643
q023,bm25,10,,6.04,10,23.003355,18.846639,18.739994,2.008774,16.560328,23.003355,6.443027,18317,3000
q023,hybrid,3,0.7,1079.0,3,0.016237,0.01567,0.015726,0.000597,0.015047,0.016237,0.00119,3584,615
q023,hybrid,5,0.7,393.99,5,0.016237,0.015157,0.015047,0.000822,0.014298,0.016237,0.001939,7924,1326
q023,hybrid,10,0.7,394.51,10,0.016237,0.013614,0.014275,0.002044,0.010606,0.016237,0.005631,14192,2343
q023,hybrid,5,0.5,392.16,5,0.016133,0.015222,0.014863,0.000632,0.014662,0.016133,0.001471,9488,1599
q024,dense,3,,631.48,3,0.76105,0.747237,0.744948,0.012823,0.735712,0.76105,0.025337,8647,1402
q024,dense,5,,400.6,5,0.76105,0.740876,0.735712,0.012578,0.730816,0.76105,0.030234,11596,1914
q024,dense,10,,669.03,10,0.76105,0.727824,0.724448,0.016178,0.712052,0.76105,0.048998,19182,3234
q024,bm25,3,,14.65,3,35.406174,34.274339,34.099043,1.055165,33.317799,35.406174,2.088375,7320,1225
q024,bm25,5,,15.02,5,35.406174,33.411935,33.317799,1.398198,32.031645,35.406174,3.374529,9175,1549
q024,bm25,10,,13.61,10,35.406174,31.21723,31.5536,2.776033,26.82281,35.406174,8.583364,20344,3468
q024,hybrid,3,0.7,442.63,3,0.016393,0.015875,0.015625,0.000449,0.015608,0.016393,0.000786,6285,1068
q024,hybrid,5,0.7,411.55,5,0.016393,0.01553,0.015608,0.000674,0.014502,0.016393,0.001892,11466,1962
