question_id,question_preview,config_method,config_k,config_dense_weight,config_bm25_weight,latency_ms,num_chunks,top_score,avg_score,min_score,max_score
q004,A distribuição de lucros e dividendos para pessoa física residente será tributada pelo IRRF?,bm25,5,,,3.82,5,18.0806,14.4555,12.4330,18.0806
q004,A distribuição de lucros e dividendos para pessoa física residente será tributada pelo IRRF?,bm25,10,,,7.10,10,18.0806,13.3178,11.9011,18.0806
q004,A distribuição de lucros e dividendos para pessoa física residente será tributada pelo IRRF?,hybrid,3,0.7,0.3,392.38,3,0.0163,0.0159,0.0155,0.0163
q004,A distribuição de lucros e dividendos para pessoa física residente será tributada pelo IRRF?,hybrid,5,0.7,0.3,413.15,5,0.0163,0.0156,0.0152,0.0163
q004,A distribuição de lucros e dividendos para pessoa física residente será tributada pelo IRRF?,hybrid,10,0.7,0.3,389.23,10,0.0163,0.0142,0.0103,0.0163
q004,A distribuição de lucros e dividendos para pessoa física residente será tributada pelo IRRF?,hybrid,5,0.5,0.5,373.29,5,0.0163,0.0157,0.0152,0.0163
q005,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,dense,3,,,361.52,3,0.7375,0.7291,0.7162,0.7375
q005,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,dense,5,,,397.78,5,0.7375,0.7227,0.7124,0.7375
q005,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,dense,10,,,687.77,10,0.7375,0.7145,0.7023,0.7375
q005,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,bm25,3,,,5.63,3,23.5571,22.8551,21.6033,23.5571
q005,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,bm25,5,,,6.40,5,23.5571,22.0414,20.4352,23.5571
q005,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,bm25,10,,,6.55,10,23.5571,20.1201,17.3186,23.5571
q005,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,hybrid,3,0.7,0.3,393.27,3,0.0160,0.0156,0.0151,0.0160
q005,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,hybrid,5,0.7,0.3,411.99,5,0.0160,0.0152,0.0139,0.0160
q005,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,hybrid,10,0.7,0.3,404.33,10,0.0160,0.0134,0.0106,0.0160
q005,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,hybrid,5,0.5,0.5,429.10,5,0.0161,0.0150,0.0135,0.0161
q006,Qual o prazo para recolhimento do IRRF devido pela pessoa jurídica sobre os lucros e dividendos dist,dense,3,,,357.28,3,0.7227,0.7135,0.7080,0.7227
q006,Qual o prazo para recolhimento do IRRF devido pela pessoa jurídica sobre os lucros e dividendos dist,dense,5,,,527.68,5,0.7227,0.7086,0.7012,0.7227
q006,Qual o prazo para recolhimento do IRRF devido pela pessoa jurídica sobre os lucros e dividendos dist,dense,10,,,699.59,10,0.7227,0.7029,0.6946,0.7227
q006,Qual o prazo para recolhimento do IRRF devido pela pessoa jurídica sobre os lucros e dividendos dist,bm25,3,,,5.47,3,17.8260,17.6677,17.3899,17.8260
q006,Qual o prazo para recolhimento do IRRF devido pela pessoa jurídica sobre os lucros e dividendos dist,bm25,5,,,5.45,5,17.8260,17.4474,16.9724,17.8260
q006,Qual o prazo para recolhimento do IRRF devido pela pessoa jurídica sobre os lucros e dividendos dist,bm25,10,,,4.70,10,17.8260,15.9966,14.0011,17.8260
q006,Qual o prazo para recolhimento do IRRF devido pela pessoa jurídica sobre os lucros e dividendos dist,hybrid,3,0.7,0.3,400.53,3,0.0154,0.0151,0.0149,0.0154
q006,Qual o prazo para recolhimento do IRRF devido pela pessoa jurídica sobre os lucros e dividendos dist,hybrid,5,0.7,0.3,389.73,5,0.0154,0.0147,0.0140,0.0154
q006,Qual o prazo para recolhimento do IRRF devido pela pessoa jurídica sobre os lucros e dividendos dist,hybrid,10,0.7,0.3,494.58,10,0.0154,0.0135,0.0111,0.0154
q006,Qual o prazo para recolhimento do IRRF devido pela pessoa jurídica sobre os lucros e dividendos dist,hybrid,5,0.5,0.5,400.02,5,0.0157,0.0148,0.0144,0.0157
q007,A lei traz alguma hipótese de afastamento da tributação do IRRF sobre os lucros e dividendos pagos p,dense,3,,,642.05,3,0.7595,0.7508,0.7453,0.7595
q007,A lei traz alguma hipótese de afastamento da tributação do IRRF sobre os lucros e dividendos pagos p,dense,5,,,676.97,5,0.7595,0.7465,0.7391,0.7595
q007,A lei traz alguma hipótese de afastamento da tributação do IRRF sobre os lucros e dividendos pagos p,dense,10,,,364.03,10,0.7595,0.7368,0.7237,0.7595
q007,A lei traz alguma hipótese de afastamento da tributação do IRRF sobre os lucros e dividendos pagos p,bm25,3,,,6.15,3,22.3664,21.6158,21.0457,22.3664
q007,A lei traz alguma hipótese de afastamento da tributação do IRRF sobre os lucros e dividendos pagos p,bm25,5,,,5.40,5,22.3664,20.7726,18.9678,22.3664
q007,A lei traz alguma hipótese de afastamento da tributação do IRRF sobre os lucros e dividendos pagos p,bm25,10,,,6.34,10,22.3664,19.0377,16.7188,22.3664
q007,A lei traz alguma hipótese de afastamento da tributação do IRRF sobre os lucros e dividendos pagos p,hybrid,3,0.7,0.3,379.82,3,0.0161,0.0160,0.0159,0.0161
q007,A lei traz alguma hipótese de afastamento da tributação do IRRF sobre os lucros e dividendos pagos p,hybrid,5,0.7,0.3,427.02,5,0.0161,0.0158,0.0153,0.0161
q007,A lei traz alguma hipótese de afastamento da tributação do IRRF sobre os lucros e dividendos pagos p,hybrid,10,0.7,0.3,398.72,10,0.0161,0.0148,0.0128,0.0161
q007,A lei traz alguma hipótese de afastamento da tributação do IRRF sobre os lucros e dividendos pagos p,hybrid,5,0.5,0.5,392.14,5,0.0160,0.0157,0.0150,0.0160
q008,Para que não haja a retenção do IRRF sobre os lucros e dividendos apurados até o ano-calendário de 2,dense,3,,,628.73,3,0.7199,0.7090,0.6919,0.7199
q008,Para que não haja a retenção do IRRF sobre os lucros e dividendos apurados até o ano-calendário de 2,dense,5,,,634.92,5,0.7199,0.7005,0.6848,0.7199
q008,Para que não haja a retenção do IRRF sobre os lucros e dividendos apurados até o ano-calendário de 2,dense,10,,,365.18,10,0.7199,0.6896,0.6767,0.7199
q008,Para que não haja a retenção do IRRF sobre os lucros e dividendos apurados até o ano-calendário de 2,bm25,3,,,6.82,3,28.4763,25.3786,23.1141,28.4763
q008,Para que não haja a retenção do IRRF sobre os lucros e dividendos apurados até o ano-calendário de 2,bm25,5,,,11.61,5,28.4763,22.2496,16.9909,28.4763
q008,Para que não haja a retenção do IRRF sobre os lucros e dividendos apurados até o ano-calendário de 2,bm25,10,,,11.16,10,28.4763,19.1446,15.0447,28.4763
q008,Para que não haja a retenção do IRRF sobre os lucros e dividendos apurados até o ano-calendário de 2,hybrid,3,0.7,0.3,394.68,3,0.0163,0.0161,0.0157,0.0163
q008,Para que não haja a retenção do IRRF sobre os lucros e dividendos apurados até o ano-calendário de 2,hybrid,5,0.7,0.3,419.59,5,0.0163,0.0156,0.0146,0.0163
q008,Para que não haja a retenção do IRRF sobre os lucros e dividendos apurados até o ano-calendário de 2,hybrid,10,0.7,0.3,404.37,10,0.0163,0.0137,0.0104,0.0163
q008,Para que não haja a retenção do IRRF sobre os lucros e dividendos apurados até o ano-calendário de 2,hybrid,5,0.5,0.5,457.65,5,0.0163,0.0155,0.0145,0.0163
q009,Para que não haja a retenção do IRRF sobre os lucros e dividendos apurados no ano-calendário de 2025,dense,3,,,658.64,3,0.7208,0.7115,0.7065,0.7208
q009,Para que não haja a retenção do IRRF sobre os lucros e dividendos apurados no ano-calendário de 2025,dense,5,,,670.94,5,0.7208,0.7023,0.6880,0.7208
q009,Para que não haja a retenção do IRRF sobre os lucros e dividendos apurados no ano-calendário de 2025,dense,10,,,420.72,10,0.7208,0.6924,0.6800,0.7208
q009,Para que não haja a retenção do IRRF sobre os lucros e dividendos apurados no ano-calendário de 2025,bm25,3,,,10.63,3,51.7552,45.1815,34.4760,51.7552
q009,Para que não haja a retenção do IRRF sobre os lucros e dividendos apurados no ano-calendário de 2025,bm25,5,,,13.64,5,51.7552,40.6676,33.3602,51.7552
q009,Para que não haja a retenção do IRRF sobre os lucros e dividendos apurados no ano-calendário de 2025,bm25,10,,,12.42,10,51.7552,34.9421,27.8430,51.7552
q009,Para que não haja a retenção do IRRF sobre os lucros e dividendos apurados no ano-calendário de 2025,hybrid,3,0.7,0.3,375.57,3,0.0163,0.0160,0.0156,0.0163
q009,Para que não haja a retenção do IRRF sobre os lucros e dividendos apurados no ano-calendário de 2025,hybrid,5,0.7,0.3,417.21,5,0.0163,0.0158,0.0153,0.0163
q009,Para que não haja a retenção do IRRF sobre os lucros e dividendos apurados no ano-calendário de 2025,hybrid,10,0.7,0.3,391.57,10,0.0163,0.0150,0.0135,0.0163
q009,Para que não haja a retenção do IRRF sobre os lucros e dividendos apurados no ano-calendário de 2025,hybrid,5,0.5,0.5,387.77,5,0.0163,0.0157,0.0154,0.0163
q010,O IRRF dos lucros e dividendos também se aplica às distribuições efetuadas por empresas do Simples N,dense,3,,,651.55,3,0.7378,0.7192,0.7059,0.7378
q010,O IRRF dos lucros e dividendos também se aplica às distribuições efetuadas por empresas do Simples N,dense,5,,,373.73,5,0.7378,0.7125,0.7021,0.7378
q010,O IRRF dos lucros e dividendos também se aplica às distribuições efetuadas por empresas do Simples N,dense,10,,,624.99,10,0.7378,0.7001,0.6814,0.7378
q010,O IRRF dos lucros e dividendos também se aplica às distribuições efetuadas por empresas do Simples N,bm25,3,,,4.35,3,16.5907,14.2913,12.6604,16.5907
q010,O IRRF dos lucros e dividendos também se aplica às distribuições efetuadas por empresas do Simples N,bm25,5,,,4.38,5,16.5907,12.8844,10.5511,16.5907
q010,O IRRF dos lucros e dividendos também se aplica às distribuições efetuadas por empresas do Simples N,bm25,10,,,7.04,10,16.5907,11.4518,9.7156,16.5907
q010,O IRRF dos lucros e dividendos também se aplica às distribuições efetuadas por empresas do Simples N,hybrid,3,0.7,0.3,408.24,3,0.0164,0.0157,0.0153,0.0164
q010,O IRRF dos lucros e dividendos também se aplica às distribuições efetuadas por empresas do Simples N,hybrid,5,0.7,0.3,367.60,5,0.0164,0.0153,0.0142,0.0164
q010,O IRRF dos lucros e dividendos também se aplica às distribuições efetuadas por empresas do Simples N,hybrid,10,0.7,0.3,419.31,10,0.0164,0.0137,0.0108,0.0164
q010,O IRRF dos lucros e dividendos também se aplica às distribuições efetuadas por empresas do Simples N,hybrid,5,0.5,0.5,432.49,5,0.0164,0.0153,0.0142,0.0164
q011,Qual o código de receita deve ser utilizado no DARF que será pago para recolher o IRRF sobre os lucr,dense,3,,,407.84,3,0.7367,0.7290,0.7152,0.7367
q011,Qual o código de receita deve ser utilizado no DARF que será pago para recolher o IRRF sobre os lucr,dense,5,,,373.72,5,0.7367,0.7174,0.6996,0.7367
q011,Qual o código de receita deve ser utilizado no DARF que será pago para recolher o IRRF sobre os lucr,dense,10,,,632.14,10,0.7367,0.7053,0.6882,0.7367
q011,Qual o código de receita deve ser utilizado no DARF que será pago para recolher o IRRF sobre os lucr,bm25,3,,,7.45,3,26.9416,24.5045,23.0919,26.9416
q011,Qual o código de receita deve ser utilizado no DARF que será pago para recolher o IRRF sobre os lucr,bm25,5,,,7.74,5,26.9416,23.0291,20.4378,26.9416
q011,Qual o código de receita deve ser utilizado no DARF que será pago para recolher o IRRF sobre os lucr,bm25,10,,,9.71,10,26.9416,21.1823,18.6368,26.9416
q011,Qual o código de receita deve ser utilizado no DARF que será pago para recolher o IRRF sobre os lucr,hybrid,3,0.7,0.3,399.13,3,0.0158,0.0156,0.0154,0.0158
q011,Qual o código de receita deve ser utilizado no DARF que será pago para recolher o IRRF sobre os lucr,hybrid,5,0.7,0.3,410.51,5,0.0158,0.0153,0.0145,0.0158
q011,Qual o código de receita deve ser utilizado no DARF que será pago para recolher o IRRF sobre os lucr,hybrid,10,0.7,0.3,397.65,10,0.0158,0.0145,0.0115,0.0158
q011,Qual o código de receita deve ser utilizado no DARF que será pago para recolher o IRRF sobre os lucr,hybrid,5,0.5,0.5,403.98,5,0.0157,0.0154,0.0148,0.0157
q012,"A capitalização de lucros apurados sujeita-se ao IRRF com base no art. 6º-A da Lei nº 15.270, de 202",dense,3,,,648.14,3,0.7520,0.7255,0.7086,0.7520
q012,"A capitalização de lucros apurados sujeita-se ao IRRF com base no art. 6º-A da Lei nº 15.270, de 202",dense,5,,,678.32,5,0.7520,0.7169,0.7036,0.7520
q012,"A capitalização de lucros apurados sujeita-se ao IRRF com base no art. 6º-A da Lei nº 15.270, de 202",dense,10,,,403.96,10,0.7520,0.7088,0.6993,0.7520
q012,"A capitalização de lucros apurados sujeita-se ao IRRF com base no art. 6º-A da Lei nº 15.270, de 202",bm25,3,,,4.23,3,18.3218,17.0939,16.1601,18.3218
q012,"A capitalização de lucros apurados sujeita-se ao IRRF com base no art. 6º-A da Lei nº 15.270, de 202",bm25,5,,,3.66,5,18.3218,16.5284,15.5317,18.3218
q012,"A capitalização de lucros apurados sujeita-se ao IRRF com base no art. 6º-A da Lei nº 15.270, de 202",bm25,10,,,4.60,10,18.3218,15.5538,13.9152,18.3218
q012,"A capitalização de lucros apurados sujeita-se ao IRRF com base no art. 6º-A da Lei nº 15.270, de 202",hybrid,3,0.7,0.3,413.96,3,0.0160,0.0157,0.0155,0.0160
q012,"A capitalização de lucros apurados sujeita-se ao IRRF com base no art. 6º-A da Lei nº 15.270, de 202",hybrid,5,0.7,0.3,408.85,5,0.0160,0.0155,0.0151,0.0160
q012,"A capitalização de lucros apurados sujeita-se ao IRRF com base no art. 6º-A da Lei nº 15.270, de 202",hybrid,10,0.7,0.3,392.70,10,0.0160,0.0145,0.0133,0.0160
q012,"A capitalização de lucros apurados sujeita-se ao IRRF com base no art. 6º-A da Lei nº 15.270, de 202",hybrid,5,0.5,0.5,410.04,5,0.0159,0.0152,0.0149,0.0159
q013,A capitalização de lucros apurados até 31 de dezembro de 2025 deliberada e aprovada em 2025 é tribut,dense,3,,,436.52,3,0.7528,0.7200,0.7035,0.7528
q013,A capitalização de lucros apurados até 31 de dezembro de 2025 deliberada e aprovada em 2025 é tribut,dense,5,,,648.59,5,0.7528,0.7133,0.7030,0.7528
q013,A capitalização de lucros apurados até 31 de dezembro de 2025 deliberada e aprovada em 2025 é tribut,dense,10,,,471.39,10,0.7528,0.7064,0.6979,0.7528
q013,A capitalização de lucros apurados até 31 de dezembro de 2025 deliberada e aprovada em 2025 é tribut,bm25,3,,,6.30,3,34.7487,33.6696,32.3405,34.7487
q013,A capitalização de lucros apurados até 31 de dezembro de 2025 deliberada e aprovada em 2025 é tribut,bm25,5,,,6.91,5,34.7487,32.7634,31.0351,34.7487
q013,A capitalização de lucros apurados até 31 de dezembro de 2025 deliberada e aprovada em 2025 é tribut,bm25,10,,,7.61,10,34.7487,29.4354,25.4136,34.7487
q013,A capitalização de lucros apurados até 31 de dezembro de 2025 deliberada e aprovada em 2025 é tribut,hybrid,3,0.7,0.3,404.82,3,0.0163,0.0157,0.0148,0.0163
q013,A capitalização de lucros apurados até 31 de dezembro de 2025 deliberada e aprovada em 2025 é tribut,hybrid,5,0.7,0.3,425.69,5,0.0163,0.0151,0.0141,0.0163
q013,A capitalização de lucros apurados até 31 de dezembro de 2025 deliberada e aprovada em 2025 é tribut,hybrid,10,0.7,0.3,384.23,10,0.0163,0.0129,0.0103,0.0163
q013,A capitalização de lucros apurados até 31 de dezembro de 2025 deliberada e aprovada em 2025 é tribut,hybrid,5,0.5,0.5,403.93,5,0.0163,0.0152,0.0144,0.0163
q014,"Após a incorporação dos lucros apurados até 31 de dezembro de 2025 (deliberada e aprovada em 2025), ",dense,3,,,451.69,3,0.7127,0.7095,0.7055,0.7127
q014,"Após a incorporação dos lucros apurados até 31 de dezembro de 2025 (deliberada e aprovada em 2025), ",dense,5,,,661.61,5,0.7127,0.7066,0.7012,0.7127
q014,"Após a incorporação dos lucros apurados até 31 de dezembro de 2025 (deliberada e aprovada em 2025), ",dense,10,,,682.01,10,0.7127,0.7012,0.6940,0.7127
q014,"Após a incorporação dos lucros apurados até 31 de dezembro de 2025 (deliberada e aprovada em 2025), ",bm25,3,,,9.70,3,26.5496,25.3620,24.7509,26.5496
q014,"Após a incorporação dos lucros apurados até 31 de dezembro de 2025 (deliberada e aprovada em 2025), ",bm25,5,,,10.40,5,26.5496,24.6964,23.5155,26.5496
q014,"Após a incorporação dos lucros apurados até 31 de dezembro de 2025 (deliberada e aprovada em 2025), ",bm25,10,,,10.90,10,26.5496,23.7814,22.0836,26.5496
q014,"Após a incorporação dos lucros apurados até 31 de dezembro de 2025 (deliberada e aprovada em 2025), ",hybrid,3,0.7,0.3,379.83,3,0.0156,0.0154,0.0152,0.0156
q014,"Após a incorporação dos lucros apurados até 31 de dezembro de 2025 (deliberada e aprovada em 2025), ",hybrid,5,0.7,0.3,406.38,5,0.0156,0.0152,0.0147,0.0156
q014,"Após a incorporação dos lucros apurados até 31 de dezembro de 2025 (deliberada e aprovada em 2025), ",hybrid,10,0.7,0.3,390.29,10,0.0156,0.0143,0.0111,0.0156
q014,"Após a incorporação dos lucros apurados até 31 de dezembro de 2025 (deliberada e aprovada em 2025), ",hybrid,5,0.5,0.5,406.63,5,0.0155,0.0149,0.0145,0.0155
q015,A distribuição de lucros e dividendos para não residente no Brasil será tributada pelo IRRF?,dense,3,,,1428.41,3,0.7345,0.7297,0.7270,0.7345
q015,A distribuição de lucros e dividendos para não residente no Brasil será tributada pelo IRRF?,dense,5,,,680.45,5,0.7345,0.7262,0.7192,0.7345
q015,A distribuição de lucros e dividendos para não residente no Brasil será tributada pelo IRRF?,dense,10,,,621.84,10,0.7345,0.7203,0.7106,0.7345
q015,A distribuição de lucros e dividendos para não residente no Brasil será tributada pelo IRRF?,bm25,3,,,4.80,3,17.1258,14.5187,12.4319,17.1258
q015,A distribuição de lucros e dividendos para não residente no Brasil será tributada pelo IRRF?,bm25,5,,,5.01,5,17.1258,13.5307,11.8022,17.1258
q015,A distribuição de lucros e dividendos para não residente no Brasil será tributada pelo IRRF?,bm25,10,,,5.22,10,17.1258,12.2692,10.0461,17.1258
q015,A distribuição de lucros e dividendos para não residente no Brasil será tributada pelo IRRF?,hybrid,3,0.7,0.3,408.17,3,0.0162,0.0156,0.0148,0.0162
q015,A distribuição de lucros e dividendos para não residente no Brasil será tributada pelo IRRF?,hybrid,5,0.7,0.3,418.98,5,0.0162,0.0152,0.0144,0.0162
q015,A distribuição de lucros e dividendos para não residente no Brasil será tributada pelo IRRF?,hybrid,10,0.7,0.3,395.68,10,0.0162,0.0133,0.0104,0.0162
q015,A distribuição de lucros e dividendos para não residente no Brasil será tributada pelo IRRF?,hybrid,5,0.5,0.5,382.41,5,0.0163,0.0151,0.0144,0.0163
q016,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,dense,3,,,600.83,3,0.7302,0.7285,0.7256,0.7302
q016,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,dense,5,,,396.27,5,0.7302,0.7264,0.7220,0.7302
q016,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,dense,10,,,630.11,10,0.7302,0.7194,0.7060,0.7302
q016,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,bm25,3,,,9.89,3,45.4210,39.1638,33.5373,45.4210
q016,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,bm25,5,,,10.19,5,45.4210,35.8452,30.0490,45.4210
q016,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,bm25,10,,,10.39,10,45.4210,31.9749,26.8807,45.4210
q016,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,hybrid,3,0.7,0.3,397.35,3,0.0162,0.0159,0.0153,0.0162
q016,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,hybrid,5,0.7,0.3,431.71,5,0.0162,0.0155,0.0148,0.0162
q016,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,hybrid,10,0.7,0.3,421.50,10,0.0162,0.0148,0.0136,0.0162
q016,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,hybrid,5,0.5,0.5,382.85,5,0.0163,0.0156,0.0152,0.0163
q017,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,dense,3,,,418.38,3,0.7226,0.7202,0.7164,0.7226
q017,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,dense,5,,,388.48,5,0.7226,0.7172,0.7103,0.7226
q017,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,dense,10,,,408.41,10,0.7226,0.7105,0.6980,0.7226
q017,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,bm25,3,,,12.27,3,61.3492,52.3837,44.6594,61.3492
q017,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,bm25,5,,,10.64,5,61.3492,47.7646,40.5539,61.3492
q017,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,bm25,10,,,12.50,10,61.3492,41.9809,33.0138,61.3492
q017,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,hybrid,3,0.7,0.3,390.62,3,0.0163,0.0159,0.0152,0.0163
q017,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,hybrid,5,0.7,0.3,436.13,5,0.0163,0.0155,0.0148,0.0163
q017,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,hybrid,10,0.7,0.3,425.41,10,0.0163,0.0140,0.0104,0.0163
q017,Qual a alíquota deve ser utilizada pela pessoa jurídica para efetuar a retenção do IRRF sobre os luc,hybrid,5,0.5,0.5,416.30,5,0.0163,0.0153,0.0144,0.0163
q018,Qual o prazo para pagamento do IRRF devido pela pessoa jurídica sobre os lucros e dividendos distrib,dense,3,,,638.54,3,0.7193,0.7098,0.7032,0.7193
q018,Qual o prazo para pagamento do IRRF devido pela pessoa jurídica sobre os lucros e dividendos distrib,dense,5,,,695.46,5,0.7193,0.7071,0.7030,0.7193
